"Extent to which qualification prepared among postgraduate coursework students and all provider types by employment outcomes (FTE, OE) 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3
Back to INDEX,,,
,,,
,,Full-time employment,Overall employment
,Very well,31.2,30.8
,Well,45.8,44.6
,Not well,8.1,8.1
,Not at all,6.9,7.7
,Unsure,8.1,8.8
,All,100.0,100.0
,,,
Column variables:,,,
FULLEMP,,,
GENEMP,,,
YEAR,,,
,,,
Column filters:,,,
FT: FULLEMP = 1,,,
OE: GENEMP = 1,,,
"Data for all columns is filtered to: ANALYSIS = 1, Postgraduate coursework: LEVEL = 2, e942 = 0",,,
,,,
Row variables:,,,
CRSPREP,,,
