"Course prepared them well or very well for current job, 2024, among postgraduate coursework students from all provider types by study area",Unnamed: 1,Unnamed: 2,Unnamed: 3
Back to INDEX,,,
,,,
,,Employed full-time,Overall employed
,Agriculture and environmental studies,71.0,68.8
,Architecture and built environment,71.2,68.8
,Business and management,78.8,77.9
,Communications,66.9,61.6
,Computing and information systems,61.4,59.0
,Creative arts,75.6,70.5
,Dentistry,78.3,82.7
,Engineering,74.4,73.7
,Health services and support,77.9,74.1
,"Humanities, culture and social sciences",71.1,67.6
,Law and paralegal studies,70.2,69.3
,Medicine,86.0,85.4
,Nursing,84.7,84.1
,Pharmacy,90.9,87.0
,Psychology,70.8,67.6
,Rehabilitation,87.8,87.7
,Science and mathematics,68.6,64.8
,Social work,79.6,76.8
,Teacher education,80.2,79.4
,"Tourism, hospitality, personal services, sport and recreation",,
,Veterinary science,79.4,77.2
,Total,77.0,75.4
,,,
Column variables:,,,
FULLEMP,,,
CRSPREP,,,
GENEMP,,,
YEAR,,,
,,,
Column filters:,,,
FT: FULLEMP = 1,,,
OE: GENEMP = 1,,,
"CRSPREP != (NA, 95,99)",,,
"Data for all columns is filtered to: ANALYSIS = (1:2), Postgraduate coursework: LEVEL = 2, e942 = 0",,,
,,,
Row variables:,,,
AREA,,,
,,,
Row notes:,,,
"Where a student completes a second course in a double degree in a different study area, the outcomes are included in both study areas.",,,
