"Course prepared them well or very well for current job, 2024, among postgraduate research students from all provider types by study area",Unnamed: 1,Unnamed: 2,Unnamed: 3
Back to INDEX,,,
,,,
,,Employed full-time,Overall employed
,Agriculture and environmental studies,83.8,84.5
,Architecture and built environment,,71.4
,Business and management,78.1,75.2
,Communications,,81.3
,Computing and information systems,85.4,82.3
,Creative arts,71.8,66.4
,Dentistry,,
,Engineering,80.2,78.5
,Health services and support,84.6,82.7
,"Humanities, culture and social sciences",77.3,76.0
,Law and paralegal studies,81.6,80.0
,Medicine,79.6,77.5
,Nursing,71.4,73.3
,Pharmacy,78.6,72.7
,Psychology,88.5,87.4
,Rehabilitation,,
,Science and mathematics,86.1,82.5
,Social work,,
,Teacher education,82.1,80.7
,"Tourism, hospitality, personal services, sport and recreation",,
,Veterinary science,,
,Total,82.0,79.3
,,,
Column variables:,,,
FULLEMP,,,
CRSPREP,,,
GENEMP,,,
YEAR,,,
,,,
Column filters:,,,
FT: FULLEMP = 1,,,
OE: GENEMP = 1,,,
"CRSPREP != (NA, 95,99)",,,
"Data for all columns is filtered to: ANALYSIS = (1:2), Postgraduate research: LEVEL = 3, e942 = 0",,,
,,,
Row variables:,,,
AREA,,,
,,,
Row notes:,,,
"Where a student completes a second course in a double degree in a different study area, the outcomes are included in both study areas.",,,
