"Extent to which qualification prepared among undergraduates and all provider types by employment outcomes (FTE, OE) 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3
Back to INDEX,,,
,,,
,,Full-time employment,Overall employment
,Very well,26.0,23.3
,Well,48.1,43.2
,Not well,11.2,10.8
,Not at all,8.3,12.8
,Unsure,6.5,9.9
,All,100.0,100.0
,,,
Column variables:,,,
FULLEMP,,,
GENEMP,,,
YEAR,,,
,,,
Column filters:,,,
FT: FULLEMP = 1,,,
OE: GENEMP = 1,,,
"Data for all columns is filtered to: ANALYSIS = 1, Undergraduate: LEVEL = 1, e942 = 0",,,
,,,
Row variables:,,,
CRSPREP,,,
