"Employment outcomes (FTE, OE, LF), 2023-2024 among postgraduate coursework students from all provider types by 45 study areas",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Back to INDEX,,,,,,,
,,,,,,,
,,Full-time employment 2023,Full-time employment 2024,Overall employment 2023,Overall employment 2024,Labour force participation rate 2023,Labour force participation rate 2024
Agriculture and environmental studies,Agriculture and forestry,85.9,81.8,94.1,91.1,94.4,92.8
Agriculture and environmental studies,Architecture and urban environments,87.9,71.3,92.2,80.6,96.9,95.8
Architecture and built environment,Building and construction,98.8,90.5,95.5,94.8,98.9,96.3
Architecture and built environment,Environmental studies,82.0,79.6,91.1,90.4,96.1,94.7
Business and management,Accounting,90.5,96.0,92.3,95.4,97.0,97.7
Business and management,Banking and finance,93.6,92.7,94.0,94.3,96.3,96.2
Business and management,Business management,93.3,92.6,94.9,94.3,97.3,97.4
Business and management,Economics,90.9,88.8,92.0,87.1,94.3,100.0
Business and management,Sales and marketing,87.6,82.8,93.1,90.1,98.0,97.0
Business and management,Management and commerce - other,86.8,85.0,89.0,90.9,96.6,96.6
Communications,"Communication, media and journalism",73.8,68.2,88.9,85.2,92.5,92.6
Computing and information systems,Computing and information systems,88.1,81.2,91.6,85.9,96.5,96.5
Creative arts,Art and design,75.7,69.2,88.3,80.6,91.3,90.4
Creative arts,Music and performing arts,82.8,57.1,89.6,88.2,96.0,96.2
Dentistry,Dentistry,95.2,93.1,98.9,94.4,93.9,96.8
Engineering,Engineering - aerospace,84.1,78.6,90.2,91.3,96.2,97.9
Engineering,Engineering - civil,91.4,88.7,90.4,86.6,96.1,95.7
Engineering,Engineering - electrical and electronic,92.0,83.1,92.5,86.8,97.3,97.1
Engineering,Engineering - mechanical,92.4,89.5,91.8,91.2,95.1,98.9
Engineering,Engineering - process and resources,89.4,89.7,91.7,90.3,100.0,97.3
Engineering,Engineering - other,91.3,90.2,94.1,92.5,97.9,96.2
Health services and support,Health services and support,91.9,88.1,95.7,94.0,96.1,95.2
Health services and support,Public health,87.2,86.1,93.5,92.9,96.5,95.7
"Humanities, culture and social sciences","Humanities, history and geography",87.9,82.7,92.7,90.4,91.3,88.4
"Humanities, culture and social sciences",Language and literature,70.9,66.1,83.7,82.7,87.3,84.8
"Humanities, culture and social sciences",Political science,84.9,86.0,92.8,91.3,96.0,94.8
Law and paralegal studies,Justice studies and policing,92.4,89.1,93.6,92.7,97.4,97.9
Law and paralegal studies,Law,91.2,89.4,92.3,91.4,96.1,96.1
Medicine,Medicine,98.2,96.7,98.4,96.4,95.7,95.6
Medicine,Nursing,93.8,94.3,96.4,96.0,95.7,96.2
Pharmacy,Pharmacy,97.9,93.8,95.7,95.1,97.6,95.9
Psychology,Psychology,88.2,85.2,92.3,92.2,91.4,92.7
Rehabilitation,Occupational therapy,96.2,85.7,93.5,87.8,100.0,96.1
Rehabilitation,Physiotherapy,98.1,93.5,97.0,95.6,98.0,96.7
Science and mathematics,Biological sciences,75.5,69.4,87.7,85.3,92.9,91.1
Science and mathematics,Mathematics,88.4,82.6,91.1,88.7,95.3,96.9
Science and mathematics,Medical sciences and technology,79.1,77.3,91.5,87.6,92.2,97.1
Science and mathematics,Natural and physical sciences,82.2,83.1,89.9,91.1,92.8,91.9
Social work,Social work,82.3,78.6,92.0,90.0,94.7,93.5
Teacher education,Teacher education - early childhood,82.0,88.0,91.9,93.6,98.1,97.0
Teacher education,Teacher education - primary and secondary,88.9,86.1,94.3,93.2,96.6,94.9
Teacher education,Teacher education - other,92.3,91.8,95.8,95.4,96.0,95.9
"Tourism, hospitality, personal services, sport and recreation",Sport and recreation,,,,,,
"Tourism, hospitality, personal services, sport and recreation","Tourism, hospitality and personal services",,,,,,
Veterinary science,Veterinary science,97.2,94.9,97.5,95.6,95.2,100.0
,Total,90.3,88.1,93.9,92.7,95.6,95.4
,,,,,,,
Column variables:,,,,,,,
AVAILEMP,,,,,,,
AVAILFT,,,,,,,
FULLEMP,,,,,,,
GENEMP,,,,,,,
YEAR,,,,,,,
,,,,,,,
Column filters:,,,,,,,
OE: AVAILEMP = 1,,,,,,,
FTE: AVAILFT = 1,,,,,,,
"Data for all columns is filtered to: ANALYS45 = (1:2), Postgraduate coursework: LEVEL = 2, e942 = 0",,,,,,,
,,,,,,,
Row variables:,,,,,,,
AREA45,,,,,,,
,,,,,,,
Row notes:,,,,,,,
"Where a graduate completes combined degrees across two study areas, their outcomes are included in both study areas. ‘All study areas’ figures count each graduate once only.",,,,,,,
