"Employment outcomes (FTE, OE, LF, SAL) among postgraduate coursework students from all provider types by survey round, 2022-2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Back to INDEX,,,,,
,,,,,
,,Full-time employment,Overall employment,Labour force participation rate,Median annual full-time salaries ($)
GOS 2022,November,86.7,91.9,95.8,"92,500"
GOS 2022,February,90.8,93.8,95.3,"97,000"
GOS 2022,May,90.7,94.1,95.5,"90,500"
GOS 2022,Total,89.4,93.3,95.6,"91,600"
GOS 2023,November,88.9,93.4,95.6,"100,000"
GOS 2023,February,89.7,91.8,96.4,"100,000"
GOS 2023,May,91.3,94.7,95.5,"93,900"
GOS 2023,Total,90.3,93.9,95.6,"96,600"
GOS 2024,November,87.2,92.2,95.5,"104,400"
GOS 2024,February,88.2,91.6,95.1,"105,000"
GOS 2024,May,88.7,93.1,95.3,"99,100"
GOS 2024,Total,88.1,92.7,95.4,"100,000"
,,,,,
Column variables:,,,,,
AVAILEMP,,,,,
AVAILFT,,,,,
FULLEMP,,,,,
GENEMP,,,,,
SALARYA,,,,,
TRIMSAL_ALL,,,,,
,,,,,
Column filters:,,,,,
OE: AVAILEMP = 1,,,,,
FTE: AVAILFT = 1,,,,,
"SAL: FULLEMP = 1, TRIMSAL_ALL = 1",,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Postgraduate coursework: LEVEL = 2, e942 = 0",,,,,
,,,,,
Row variables:,,,,,
PERIOD,,,,,
YEAR,,,,,
