"Employment outcomes (FTE, OE, LF, SAL) among postgraduate research students from all provider types by full-time study status by gender, 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Back to INDEX,,,,,
,,,,,
,,Full-time employment,Overall employment,Labour force participation rate,Median annual full-time salaries ($)
In full-time study,Male,92.5,92.4,89.2,"113,000"
In full-time study,Female,78.7,87.2,88.7,"105,000"
In full-time study,Total,84.3,88.9,89.0,"110,000"
Not in full-time study,Male,83.7,90.0,96.0,"106,000"
Not in full-time study,Female,82.1,91.4,96.1,"102,000"
Not in full-time study,Total,82.8,90.9,96.1,"104,400"
,,,,,
Column variables:,,,,,
AVAILEMP,,,,,
AVAILFT,,,,,
FULLEMP,,,,,
GENEMP,,,,,
SALARYA,,,,,
TRIMSAL_ALL,,,,,
,,,,,
Column filters:,,,,,
OE: AVAILEMP = 1,,,,,
FTE: AVAILFT = 1,,,,,
"SAL: FULLEMP = 1, TRIMSAL_ALL = 1",,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Postgraduate research: LEVEL = 3, e942 = 0",,,,,
,,,,,
Row Variables:,,,,,
Gender: E315,,,,,
FURSTUD,,,,,
YEAR,,,,,
