"Employment outcomes (FTE, OE, LF), 2023-2024 among postgraduate research students from all provider types by study area",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Back to INDEX,,,,,,,,,
,,,,,,,,,
,,Full-time employment 2023,Full-time employment 2024,Overall employment 2023,Overall employment 2024,Labour force participation rate 2023,Labour force participation rate 2024,30 years or under 2023,30 years or under 2024
,Agriculture and environmental studies,83.7,82.6,96.2,89.0,97.2,99.0,29.6,31.7
,Architecture and built environment,76.7,66.7,84.8,83.3,97.1,100.0,8.8,11.1
,Business and management,85.8,83.3,94.2,90.0,95.9,92.7,12.2,13.7
,Communications,80.0,72.4,88.6,90.0,92.1,93.0,21.1,20.9
,Computing and information systems,86.3,75.7,85.9,85.4,97.5,95.3,20.0,22.1
,Creative arts,83.0,73.4,92.9,87.9,93.9,91.8,15.0,24.0
,Dentistry,,,,,,,,
,Engineering,85.5,81.3,89.2,87.9,96.9,97.1,30.4,32.4
,Health services and support,92.2,89.6,96.5,94.0,96.3,97.4,27.0,20.1
,"Humanities, culture and social sciences",79.4,74.0,89.2,88.2,89.1,90.2,21.6,19.8
,Law and paralegal studies,84.9,81.1,92.6,87.5,98.6,97.0,10.1,10.6
,Medicine,86.0,90.7,90.3,93.7,97.2,94.7,29.6,27.3
,Nursing,90.9,87.0,90.6,89.3,98.1,94.9,13.0,5.1
,Pharmacy,83.3,89.5,87.5,90.9,100.0,97.8,50.0,48.9
,Psychology,92.6,88.3,95.8,94.7,98.2,95.9,50.5,41.1
,Rehabilitation,,,100.0,,100.0,,11.5,
,Science and mathematics,83.9,85.1,89.5,90.9,96.3,96.6,51.3,53.6
,Social work,,,,,,,,
,Teacher education,87.4,84.2,94.1,91.4,94.4,98.2,4.7,2.7
,"Tourism, hospitality, personal services, sport and recreation",,,,,,,,
,Veterinary science,,,92.3,,100.0,,42.3,
,Total,85.3,82.8,91.4,90.5,95.2,95.1,29.8,29.2
,Standard deviation,10.5,8.8,7.2,4.7,3.2,4.3,16.0,13.9
,,,,,,,,,
Column variables:,,,,,,,,,
AVAILEMP,,,,,,,,,
AVAILFT,,,,,,,,,
FULLEMP,,,,,,,,,
GENEMP,,,,,,,,,
YEAR,,,,,,,,,
E913,,,,,,,,,
,,,,,,,,,
Column filters:,,,,,,,,,
OE: AVAILEMP = 1,,,,,,,,,
FTE: AVAILFT = 1,,,,,,,,,
"Data for all columns is filtered to: ANALYSIS = (1:2), Postgraduate research: LEVEL = 3, e942 = 0",,,,,,,,,
,,,,,,,,,
Row variables:,,,,,,,,,
AREA,,,,,,,,,
,,,,,,,,,
Row notes:,,,,,,,,,
"Where a student completes a second course in a double degree in a different study area, the outcomes are included in both study areas.",,,,,,,,,
