"Employment outcomes (FTE, OE, LF), 2023-2024 among postgraduate research students from all provider types by 45 study areas",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Back to INDEX,,,,,,,
,,,,,,,
,,Full-time employment 2023,Full-time employment 2024,Overall employment 2023,Overall employment 2024,Labour force participation rate 2023,Labour force participation rate 2024
Agriculture and environmental studies,Agriculture and forestry,82.5,78.0,95.5,85.5,97.1,98.6
Agriculture and environmental studies,Architecture and urban environments,77.8,62.1,86.7,81.3,96.8,100.0
Architecture and built environment,Building and construction,,,,,,
Architecture and built environment,Environmental studies,85.7,92.6,97.4,96.8,97.4,100.0
Business and management,Accounting,,,,,,
Business and management,Banking and finance,,,,,,
Business and management,Business management,84.0,83.5,96.1,90.3,97.1,92.1
Business and management,Economics,,96.2,88.0,100.0,96.2,90.6
Business and management,Sales and marketing,,,,,,
Business and management,Management and commerce - other,84.8,88.5,92.1,90.9,95.0,94.3
Communications,"Communication, media and journalism",80.0,72.4,88.6,90.0,92.1,93.0
Computing and information systems,Computing and information systems,86.3,75.7,85.9,85.4,97.5,95.3
Creative arts,Art and design,85.9,76.7,93.7,87.9,93.1,91.0
Creative arts,Music and performing arts,79.2,69.4,91.9,87.9,94.9,93.0
Dentistry,Dentistry,,,,,,
Engineering,Engineering - aerospace,,,,,,
Engineering,Engineering - civil,89.6,68.0,88.9,79.6,96.0,100.0
Engineering,Engineering - electrical and electronic,88.9,89.7,94.9,90.7,96.7,96.2
Engineering,Engineering - mechanical,77.8,80.0,81.3,85.7,98.0,95.5
Engineering,Engineering - process and resources,83.8,85.1,89.7,91.3,97.8,97.9
Engineering,Engineering - other,87.0,80.0,91.3,93.9,95.8,94.3
Health services and support,Health services and support,89.5,87.6,93.7,94.2,96.2,96.5
Health services and support,Public health,95.5,91.9,100.0,93.7,96.4,98.4
"Humanities, culture and social sciences","Humanities, history and geography",80.9,75.1,89.4,87.0,88.3,89.8
"Humanities, culture and social sciences",Language and literature,67.5,62.2,88.0,96.4,94.3,91.7
"Humanities, culture and social sciences",Political science,76.0,78.4,88.2,89.5,94.4,92.7
Law and paralegal studies,Justice studies and policing,,,,,,
Law and paralegal studies,Law,84.4,83.0,93.1,87.5,98.3,98.2
Medicine,Medicine,86.0,90.7,90.3,93.7,97.2,94.7
Medicine,Nursing,90.9,87.0,90.6,89.3,98.1,94.9
Pharmacy,Pharmacy,83.3,89.5,87.5,90.9,100.0,97.8
Psychology,Psychology,92.6,88.3,95.8,94.7,98.2,95.9
Rehabilitation,Occupational therapy,,,,,,
Rehabilitation,Physiotherapy,,,,,,
Science and mathematics,Biological sciences,84.6,85.5,90.7,90.5,96.0,97.1
Science and mathematics,Mathematics,78.1,84.8,88.1,92.1,97.7,95.0
Science and mathematics,Medical sciences and technology,86.4,86.0,91.4,94.0,98.1,99.0
Science and mathematics,Natural and physical sciences,83.2,84.5,88.1,90.1,95.9,95.6
Social work,Social work,,,,,,
Teacher education,Teacher education - early childhood,,,,,,
Teacher education,Teacher education - primary and secondary,,,,,,
Teacher education,Teacher education - other,87.4,84.0,94.0,91.3,94.3,98.2
"Tourism, hospitality, personal services, sport and recreation",Sport and recreation,,,,,,
"Tourism, hospitality, personal services, sport and recreation","Tourism, hospitality and personal services",,,,,,
Veterinary science,Veterinary science,,,92.3,,100.0,
,Total,85.3,82.8,91.4,90.5,95.2,95.1
,,,,,,,
Column variables:,,,,,,,
AVAILEMP,,,,,,,
AVAILFT,,,,,,,
FULLEMP,,,,,,,
GENEMP,,,,,,,
YEAR,,,,,,,
,,,,,,,
Column filters:,,,,,,,
OE: AVAILEMP = 1,,,,,,,
FTE: AVAILFT = 1,,,,,,,
"Data for all columns is filtered to: ANALYS45 = (1:2), Postgraduate research: LEVEL = 3, e942 = 0",,,,,,,
,,,,,,,
Row variables:,,,,,,,
AREA45,,,,,,,
,,,,,,,
Row notes:,,,,,,,
"Where a graduate completes combined degrees across two study areas, their outcomes are included in both study areas. ‘All study areas’ figures count each graduate once only.",,,,,,,
