"Employment outcomes (FTE, OE, LF), 2023-2024 among postgraduate research students from all provider types by demographic group",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Back to INDEX,,,,,,,
,,,,,,,
,,Full-time employment 2023,Full-time employment 2024,Overall employment 2023,Overall employment 2024,Labour force participation rate 2023,Labour force participation rate 2024
Gender,Male,84.9,83.8,90.2,89.7,95.0,95.0
Gender,Female,85.5,82.1,92.3,91.1,95.3,95.1
Age group,30 years or under,88.9,83.7,93.0,90.0,96.7,97.0
Age group,Over 30 years,83.6,82.4,90.8,90.7,94.6,94.3
Indigenous,Indigenous,90.5,91.4,91.5,97.8,97.9,93.9
Indigenous,Non-Indigenous,85.2,82.7,91.4,90.4,95.1,95.1
Home language,English,86.2,83.5,92.1,91.0,95.0,95.0
Home language,Language other than English,76.0,75.7,84.2,84.2,97.1,96.3
Disability,Disability reported,83.2,79.1,87.0,88.9,89.2,91.1
Disability,No disability reported,85.4,83.1,91.7,90.6,95.6,95.4
Study mode,Internal/Mixed study mode,85.1,82.7,91.6,90.4,95.3,95.3
Study mode,External study mode,87.2,86.2,91.5,94.0,92.9,94.4
First in family,First in family,83.3,82.2,90.5,90.6,94.5,94.0
First in family,Not first in family,86.3,84.3,92.3,91.3,96.5,96.7
Socio-economic status,High*,86.1,83.3,94.2,91.8,94.0,95.3
Socio-economic status,Medium*,85.2,83.0,91.7,90.2,95.1,95.2
Socio-economic status,Low*,82.3,77.5,89.8,91.0,98.3,96.5
Locality,Metro* †,85.2,82.2,92.8,90.7,94.7,95.7
Locality,Regional/Remote* †,86.9,85.6,92.7,92.1,95.2,93.8
Total,Total,85.3,82.8,91.4,90.5,95.2,95.1
,,,,,,,
Column variables:,,,,,,,
AVAILEMP,,,,,,,
AVAILFT,,,,,,,
FULLEMP,,,,,,,
GENEMP,,,,,,,
YEAR,,,,,,,
,,,,,,,
Column filters:,,,,,,,
OE: AVAILEMP = 1,,,,,,,
FTE: AVAILFT = 1,,,,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Postgraduate research: LEVEL = 3, e942 = 0",,,,,,,
,,,,,,,
Row variables:,,,,,,,
Gender: E315,,,,,,,
Mode of attendance: E329,,,,,,,
Indigenous indicator: E940,,,,,,,
English speaking indicator: E941,,,,,,,
Citizenship indicator: E942,,,,,,,
Disability indicator: E943,,,,,,,
FAMILYED,,,,,,,
FIRST_ASGS_METRO,,,,,,,
FIRST_ASGS_REGIONAL,,,,,,,
FIRST_ASGS_REMOTE,,,,,,,
FIRST_SES_SA1,,,,,,,
,,,,,,,
Row notes:,,,,,,,
30 years or under: e913 > 0 & e913 <= 30,,,,,,,
Over 30 years: e913 > 30,,,,,,,
"Internal/Mixed study mode: E329  = (1,3)",,,,,,,
"External study mode: E329  = (2,4,5)",,,,,,,
* Socio-economic status data for 2022 and 2023 has been updated in 2024 to reflect revised information in the 2022 Higher Education student statistics collection (HESSC). Note that student completion data from 2021 and 2022 form the population data for GOS 2022 and 2023 respectively.,,,,,,,
† Locality statistics are calculated according to proportion for both metro and regional/remote categories.,,,,,,,
"† Location data are only reported for Commonwealth assisted students, which excludes international and domestic full fee paying students.",,,,,,,
†† Some subgroups may not add to 100 per cent due to rounding.,,,,,,,
