"Employment outcomes (FTE, OE, LF) among postgraduate research students and all provider types by gender, 2023-2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Back to INDEX,,,,,,,
,,,,,,,
,,Male 2023,Female 2023,Total 2023,Male 2024,Female 2024,Total 2024
,Full-time employment,84.9,85.5,85.3,83.8,82.1,82.8
,Overall employment,90.2,92.3,91.4,89.7,91.1,90.5
,Labour force participation rate,95.0,95.3,95.2,95.0,95.1,95.1
,,,,,,,
Column variables:,,,,,,,
Gender: E315,,,,,,,
YEAR,,,,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Postgraduate research: LEVEL = 3, e942 = 0",,,,,,,
,,,,,,,
Row variables:,,,,,,,
AVAILEMP,,,,,,,
AVAILFT,,,,,,,
FULLEMP,,,,,,,
GENEMP,,,,,,,
