"Employment outcomes (FTE, OE, LF), 2023-2024 among undergraduates from non-university higher education institutes (NUHEIs) by study area",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Back to INDEX,,,,,,,
,,,,,,,
,,Full-time employment 2023,Full-time employment 2024,Overall employment 2023,Overall employment 2024,Labour force participation rate 2023,Labour force participation rate 2024
,Agriculture and environmental studies,92.1,87.0,93.2,89.6,95.7,98.0
,Architecture and built environment,,,84.0,51.9,83.3,93.1
,Business and management,67.1,65.1,86.4,85.0,93.2,93.3
,Communications,52.9,38.1,76.0,68.2,95.3,91.7
,Computing and information systems,60.8,59.3,76.0,75.0,94.1,87.1
,Creative arts,43.9,41.9,79.0,73.0,88.3,88.9
,Dentistry,,,,,,
,Engineering,,83.8,85.7,82.9,90.3,82.0
,Health services and support,75.2,66.4,86.5,84.4,87.8,91.3
,"Humanities, culture and social sciences",76.6,75.5,86.0,87.5,85.5,87.7
,Law and paralegal studies,,,,,,
,Medicine,,,,,,
,Nursing,,,,92.6,,96.4
,Pharmacy,,,,,,
,Psychology,76.3,66.7,86.4,84.8,84.3,89.2
,Rehabilitation,,,,,,
,Science and mathematics,,,,,,88.0
,Social work,65.6,68.2,84.4,85.9,91.3,86.8
,Teacher education,85.0,89.1,92.2,93.4,94.1,93.8
,"Tourism, hospitality, personal services, sport and recreation",,,,,,
,Veterinary science,,,,,,
,Total,65.3,61.8,83.4,80.8,89.3,89.9
,,,,,,,
Column variables:,,,,,,,
AVAILEMP,,,,,,,
AVAILFT,,,,,,,
FULLEMP,,,,,,,
GENEMP,,,,,,,
YEAR,,,,,,,
,,,,,,,
Column filters:,,,,,,,
OE: AVAILEMP = 1,,,,,,,
FTE: AVAILFT = 1,,,,,,,
"Data for all columns is filtered to: ANALYSIS = (1:2), Undergraduate: LEVEL = 1, NUHEI: HEPTYPE = 2, e942 = 0",,,,,,,
,,,,,,,
Row variables:,,,,,,,
AREA,,,,,,,
,,,,,,,
Row notes:,,,,,,,
"Where a student completes a second course in a double degree in a different study area, the outcomes are included in both study areas.",,,,,,,
