"Employment outcomes (FTE, OE, LF), 2023-2024 among undergraduates from non-university higher education institutes (NUHEIs) by demographic group",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Back to INDEX,,,,,,,
,,,,,,,
,,Full-time employment 2023,Full-time employment 2024,Overall employment 2023,Overall employment 2024,Labour force participation rate 2023,Labour force participation rate 2024
Gender,Male,63.5,59.6,81.6,79.2,90.5,90.3
Gender,Female,67.0,63.7,84.3,81.8,88.5,90.0
Age group,30 years or under,62.3,56.7,83.0,79.0,91.2,92.0
Age group,Over 30 years,70.8,70.6,84.0,83.8,86.3,86.5
Indigenous,Indigenous,,,80.8,92.9,96.3,84.8
Indigenous,Non-Indigenous,65.3,61.6,83.4,80.6,89.2,90.0
Home language,English,65.6,62.1,83.5,81.1,89.3,90.2
Home language,Language other than English,,,76.5,,87.2,70.6
Disability,Disability reported,59.5,51.4,78.9,75.2,88.6,85.2
Disability,No disability reported,65.9,62.6,83.8,81.2,89.3,90.3
Study mode,Internal/Mixed study mode,63.2,59.3,83.2,79.7,89.5,89.8
Study mode,External study mode,77.3,70.6,85.3,84.0,86.8,90.8
First in family,First in family,57.9,63.7,79.2,83.5,89.9,90.4
First in family,Not first in family,64.7,59.5,86.2,80.2,88.5,89.9
Socio-economic status,High*,64.3,61.2,85.1,80.2,89.5,91.2
Socio-economic status,Medium*,64.8,59.4,82.1,79.4,89.5,89.0
Socio-economic status,Low*,67.3,57.7,78.9,78.4,91.2,91.9
Locality,Metro* †,63.3,57.7,82.4,78.7,89.0,90.1
Locality,Regional/Remote* †,72.7,71.8,83.5,86.0,93.7,91.5
Total,Total,65.3,61.8,83.4,80.8,89.3,89.9
,,,,,,,
Column variables:,,,,,,,
AVAILEMP,,,,,,,
AVAILFT,,,,,,,
FULLEMP,,,,,,,
GENEMP,,,,,,,
YEAR,,,,,,,
,,,,,,,
Column filters:,,,,,,,
OE: AVAILEMP = 1,,,,,,,
FTE: AVAILFT = 1,,,,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Undergraduate: LEVEL = 1, NUHEI: HEPTYPE = 2, e942 = 0",,,,,,,
,,,,,,,
Row variables:,,,,,,,
Gender: E315,,,,,,,
Mode of attendance: E329,,,,,,,
Indigenous indicator: E940,,,,,,,
English speaking indicator: E941,,,,,,,
Citizenship indicator: E942,,,,,,,
Disability indicator: E943,,,,,,,
FAMILYED,,,,,,,
FIRST_ASGS_METRO,,,,,,,
FIRST_ASGS_REGIONAL,,,,,,,
FIRST_ASGS_REMOTE,,,,,,,
FIRST_SES_SA1,,,,,,,
,,,,,,,
Row notes:,,,,,,,
30 years or under: e913 > 0 & e913 <= 30,,,,,,,
Over 30 years: e913 > 30,,,,,,,
"Internal/Mixed study mode: E329  = (1,3)",,,,,,,
"External study mode: E329  = (2,4,5)",,,,,,,
* Socio-economic status data for 2022 and 2023 has been updated in 2024 to reflect revised information in the 2022 Higher Education student statistics collection (HESSC). Note that student completion data from 2021 and 2022 form the population data for GOS 2022 and 2023 respectively.,,,,,,,
† Locality statistics are calculated according to proportion for both metro and regional/remote categories.,,,,,,,
"† Location data are only reported for Commonwealth assisted students, which excludes international and domestic full fee paying students.",,,,,,,
†† Some subgroups may not add to 100 per cent due to rounding.,,,,,,,
