"Employment outcomes (FTE, OE, LF), 2023-2024 among undergraduates from universities by study area",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Back to INDEX,,,,,,,
,,,,,,,
,,Full-time employment 2023,Full-time employment 2024,Overall employment 2023,Overall employment 2024,Labour force participation rate 2023,Labour force participation rate 2024
,Agriculture and environmental studies,81.7,77.2,91.1,88.4,91.5,92.8
,Architecture and built environment,79.1,67.5,87.3,81.1,95.9,94.4
,Business and management,84.7,78.7,90.0,88.8,96.1,96.0
,Communications,65.7,59.3,85.8,81.6,89.1,91.3
,Computing and information systems,75.0,68.2,83.4,80.7,94.8,94.0
,Creative arts,55.3,49.6,81.5,80.6,90.8,91.6
,Dentistry,83.0,86.2,91.8,91.7,94.4,94.4
,Engineering,89.1,85.5,91.8,89.6,95.5,94.7
,Health services and support,78.1,75.9,91.1,90.0,92.9,93.4
,"Humanities, culture and social sciences",71.6,66.3,86.9,84.3,90.6,91.1
,Law and paralegal studies,84.6,79.3,89.7,88.5,94.8,94.4
,Medicine,95.6,90.4,97.0,93.4,95.1,91.3
,Nursing,86.7,85.6,91.8,91.7,95.6,95.8
,Pharmacy,98.4,91.4,97.9,91.6,95.2,95.8
,Psychology,72.6,65.5,88.1,87.0,90.3,89.4
,Rehabilitation,95.6,94.9,96.7,95.9,96.1,97.2
,Science and mathematics,69.8,63.7,86.3,82.5,87.0,87.2
,Social work,82.3,78.0,90.5,88.8,94.3,95.5
,Teacher education,89.7,86.8,94.1,92.5,94.0,94.4
,"Tourism, hospitality, personal services, sport and recreation",72.7,71.8,87.8,88.1,96.9,94.4
,Veterinary science,92.1,84.7,92.3,89.2,94.0,92.7
,Total,79.4,74.4,89.1,87.1,92.6,92.7
,,,,,,,
Column variables:,,,,,,,
AVAILEMP,,,,,,,
AVAILFT,,,,,,,
FULLEMP,,,,,,,
GENEMP,,,,,,,
YEAR,,,,,,,
,,,,,,,
Column filters:,,,,,,,
OE: AVAILEMP = 1,,,,,,,
FTE: AVAILFT = 1,,,,,,,
"Data for all columns is filtered to: ANALYSIS = (1:2), Undergraduate: LEVEL = 1, University: HEPTYPE = 1, e942 = 0",,,,,,,
,,,,,,,
Row variables:,,,,,,,
AREA,,,,,,,
,,,,,,,
Row notes:,,,,,,,
"Where a student completes a second course in a double degree in a different study area, the outcomes are included in both study areas.",,,,,,,
