"Proportion employed full-time, 2022-2024, with 90% confidence intervals among postgraduate coursework students from universities by institution",Unnamed: 1,Unnamed: 2
Back to INDEX,,
,,
,,Full-time employment rate
,Avondale University,"95.2 (87.0, 98.0)"
,University of Tasmania,"94.8 (94.2, 95.3)"
,Australian Catholic University,"94.2 (93.2, 95.0)"
,University of Newcastle,"93.1 (92.1, 93.9)"
,University of Divinity,"92.8 (90.1, 94.7)"
,The University of Notre Dame Australia,"92.5 (90.9, 93.7)"
,Charles Sturt University,"92.3 (91.6, 92.9)"
,University of Canberra,"91.7 (90.2, 93.0)"
,Southern Cross University,"91.7 (90.5, 92.8)"
,Federation University Australia,"91.6 (89.4, 93.3)"
,Queensland University of Technology,"91.2 (90.5, 91.9)"
,Central Queensland University,"91.2 (89.7, 92.5)"
,James Cook University,"91.0 (89.8, 92.1)"
,University of New South Wales,"90.9 (90.1, 91.6)"
,University of Wollongong,"90.6 (89.0, 91.9)"
,Flinders University,"90.3 (89.2, 91.3)"
,University of Southern Queensland,"89.9 (88.7, 90.9)"
,The University of South Australia,"89.7 (88.4, 90.9)"
,University of New England,"89.3 (88.1, 90.4)"
,All universities,"88.9 (88.7, 89.1)"
,The Australian National University,"88.9 (87.5, 90.1)"
,Edith Cowan University,"88.8 (87.7, 89.9)"
,Charles Darwin University,"88.8 (86.6, 90.6)"
,Griffith University,"88.6 (87.5, 89.5)"
,Deakin University,"88.4 (87.7, 89.0)"
,Bond University,"88.0 (85.0, 90.3)"
,Curtin University,"87.8 (86.5, 89.0)"
,The University of Sydney,"87.8 (86.9, 88.6)"
,The University of Western Australia,"87.7 (86.4, 88.9)"
,La Trobe University,"87.5 (86.1, 88.8)"
,The University of Adelaide,"87.3 (85.9, 88.6)"
,RMIT University,"87.1 (86.2, 87.9)"
,The University of Melbourne,"86.9 (86.3, 87.5)"
,Swinburne University of Technology,"86.7 (85.2, 88.1)"
,Macquarie University,"86.5 (85.1, 87.7)"
,Murdoch University,"86.3 (83.9, 88.4)"
,University of the Sunshine Coast,"86.3 (83.0, 88.8)"
,Monash University,"86.2 (85.5, 87.0)"
,The University of Queensland,"85.9 (84.6, 87.0)"
,Western Sydney University,"85.8 (84.2, 87.2)"
,University of Technology Sydney,"85.7 (84.7, 86.6)"
,Victoria University,"84.3 (82.8, 85.7)"
,Torrens University,"81.3 (79.7, 82.5)"
,,
Column variables:,,
AVAILFT,,
FULLEMP,,
YEAR,,
,,
Column filters:,,
AVAILFT =1,,
,,
Column notes:,,
The Agresti-Coull method is used to calculate 90% confidence intervals for proportions.,,
Estimates and confidence intervals (CIs) may become unreliable for very small sample sizes and proportions close to 0% or 100%.,,
CIs are not displayed when estimates are 0% or 100% or fall outside the CI range. Exercise caution when reporting and comparing proportions in these cases.,,
Bootstrapping on the median is used to estimate 90% confidence intervals for median salary.,,
"Data for all columns is filtered to: ANALYSIS = 1, Postgraduate coursework: LEVEL = 2, University: HEPTYPE = 1, e942 = 0",,
,,
Row variables:,,
E306,,
