"Proportion employed full-time, 2022-2024, with 90% confidence intervals among undergraduates from universities by institution",Unnamed: 1,Unnamed: 2
Back to INDEX,,
,,
,,Full-time employment rate
,Charles Sturt University,"90.4 (89.6, 91.1)"
,Avondale University,"88.8 (83.6, 92.2)"
,University of New England,"87.3 (86.4, 88.2)"
,The University of Notre Dame Australia,"86.3 (84.7, 87.8)"
,James Cook University,"86.0 (84.6, 87.3)"
,Central Queensland University,"85.5 (84.4, 86.6)"
,University of Southern Queensland,"84.0 (83.0, 84.9)"
,Charles Darwin University,"83.9 (82.4, 85.2)"
,University of Newcastle,"82.0 (80.8, 83.0)"
,Australian Catholic University,"81.6 (80.6, 82.6)"
,Curtin University,"81.2 (80.1, 82.3)"
,University of Canberra,"81.1 (79.7, 82.5)"
,University of Tasmania,"81.1 (80.1, 82.1)"
,University of New South Wales,"80.9 (79.8, 81.9)"
,The University of Queensland,"80.5 (79.5, 81.4)"
,Southern Cross University,"80.5 (78.8, 82.0)"
,University of Divinity,"80.5 (73.4, 85.7)"
,The University of Sydney,"79.8 (78.8, 80.7)"
,Queensland University of Technology,"78.8 (78.0, 79.6)"
,The University of South Australia,"78.8 (77.8, 79.9)"
,Monash University,"78.8 (78.0, 79.6)"
,The Australian National University,"78.4 (77.0, 79.8)"
,Federation University Australia,"78.3 (76.2, 80.2)"
,All universities,"77.6 (77.5, 77.8)"
,La Trobe University,"77.5 (76.3, 78.7)"
,Deakin University,"77.4 (76.6, 78.2)"
,University of Wollongong,"76.6 (75.1, 78.1)"
,University of Technology Sydney,"76.2 (75.3, 77.1)"
,Bond University,"76.1 (71.7, 79.9)"
,Swinburne University of Technology,"76.0 (74.9, 77.2)"
,Edith Cowan University,"76.0 (74.7, 77.4)"
,University of the Sunshine Coast,"75.3 (73.8, 76.6)"
,Flinders University,"74.6 (73.1, 76.0)"
,Macquarie University,"74.4 (73.3, 75.5)"
,The University of Adelaide,"73.8 (72.4, 75.1)"
,Western Sydney University,"72.5 (71.5, 73.6)"
,Griffith University,"72.2 (71.1, 73.3)"
,Murdoch University,"70.4 (68.4, 72.2)"
,The University of Western Australia,"68.7 (66.7, 70.6)"
,RMIT University,"68.4 (67.4, 69.3)"
,The University of Melbourne,"66.7 (65.4, 68.0)"
,Torrens University,"65.7 (64.3, 67.0)"
,Victoria University,"65.1 (63.4, 66.7)"
,,
Column variables:,,
AVAILFT,,
FULLEMP,,
YEAR,,
,,
Column filters:,,
AVAILFT =1,,
,,
Column notes:,,
The Agresti-Coull method is used to calculate 90% confidence intervals for proportions.,,
Estimates and confidence intervals (CIs) may become unreliable for very small sample sizes and proportions close to 0% or 100%.,,
CIs are not displayed when estimates are 0% or 100% or fall outside the CI range. Exercise caution when reporting and comparing proportions in these cases.,,
Bootstrapping on the median is used to estimate 90% confidence intervals for median salary.,,
"Data for all columns is filtered to: ANALYSIS = 1, Undergraduate: LEVEL = 1, University: HEPTYPE = 1, e942 = 0",,
,,
Row variables:,,
E306,,
