"Further full-time study among postgraduate coursework students from all provider types by broad field of education, 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3
Back to INDEX,,,
,,,
,,In full-time study in 2024,Not in full-time study in 2024
,"Agriculture, environmental & related studies",5.0,95.0
,Architecture & building,3.7,96.3
,Creative arts,7.5,92.5
,Education,5.9,94.1
,Engineering & related technologies,6.0,94.0
,"Food, hospitality & personal services",,
,Health,6.0,94.0
,Information technology,7.5,92.5
,Management & commerce,7.4,92.6
,Mixed field programmes,,
,Natural & physical sciences,11.1,88.9
,Society & culture,9.6,90.4
,Total,7.3,92.7
,,,
Column variables:,,,
FURSTUD,,,
YEAR,,,
,,,
Column filters:,,,
"FURSTUD != (NA, 95, 99)",,,
"Data for all columns is filtered to: ANALYS12 = (1:2), Postgraduate coursework: LEVEL = 2, e942 = 0",,,
,,,
Row variables:,,,
BROADFOE,,,
ANALYS12,,,
,,,
Row notes:,,,
"Where a graduate continues to combined degrees across two study areas, their outcomes are included in both study areas. ‘All study areas’ figures count each graduate once only (ANALYS12 =1).",,,
