"Broad field of education among postgraduate coursework students and all provider types by further full-time study, 2024",Unnamed: 1,Unnamed: 2
Back to INDEX,,
,,
,,In full-time study in 2024
"Agriculture, environmental & related studies","Agriculture, environmental & related studies",
"Agriculture, environmental & related studies",Architecture & building,
"Agriculture, environmental & related studies",Creative arts,
"Agriculture, environmental & related studies",Education,
"Agriculture, environmental & related studies",Engineering & related technologies,
"Agriculture, environmental & related studies","Food, hospitality & personal services",
"Agriculture, environmental & related studies",Health,
"Agriculture, environmental & related studies",Information technology,
"Agriculture, environmental & related studies",Management & commerce,
"Agriculture, environmental & related studies",Mixed field programmes,
"Agriculture, environmental & related studies",Natural & physical sciences,
"Agriculture, environmental & related studies",Society & culture,
Architecture & building,"Agriculture, environmental & related studies",
Architecture & building,Architecture & building,
Architecture & building,Creative arts,
Architecture & building,Education,
Architecture & building,Engineering & related technologies,
Architecture & building,"Food, hospitality & personal services",
Architecture & building,Health,
Architecture & building,Information technology,
Architecture & building,Management & commerce,
Architecture & building,Mixed field programmes,
Architecture & building,Natural & physical sciences,
Architecture & building,Society & culture,
Creative arts,"Agriculture, environmental & related studies",0.0
Creative arts,Architecture & building,0.0
Creative arts,Creative arts,54.3
Creative arts,Education,8.6
Creative arts,Engineering & related technologies,2.9
Creative arts,"Food, hospitality & personal services",0.0
Creative arts,Health,8.6
Creative arts,Information technology,2.9
Creative arts,Management & commerce,2.9
Creative arts,Mixed field programmes,2.9
Creative arts,Natural & physical sciences,0.0
Creative arts,Society & culture,14.3
Education,"Agriculture, environmental & related studies",0.0
Education,Architecture & building,0.0
Education,Creative arts,2.9
Education,Education,70.2
Education,Engineering & related technologies,1.0
Education,"Food, hospitality & personal services",1.0
Education,Health,9.8
Education,Information technology,1.0
Education,Management & commerce,2.4
Education,Mixed field programmes,1.0
Education,Natural & physical sciences,1.0
Education,Society & culture,8.8
Engineering & related technologies,"Agriculture, environmental & related studies",13.3
Engineering & related technologies,Architecture & building,0.0
Engineering & related technologies,Creative arts,3.3
Engineering & related technologies,Education,0.0
Engineering & related technologies,Engineering & related technologies,60.0
Engineering & related technologies,"Food, hospitality & personal services",0.0
Engineering & related technologies,Health,0.0
Engineering & related technologies,Information technology,3.3
Engineering & related technologies,Management & commerce,3.3
Engineering & related technologies,Mixed field programmes,0.0
Engineering & related technologies,Natural & physical sciences,13.3
Engineering & related technologies,Society & culture,3.3
"Food, hospitality & personal services","Agriculture, environmental & related studies",
"Food, hospitality & personal services",Architecture & building,
"Food, hospitality & personal services",Creative arts,
"Food, hospitality & personal services",Education,
"Food, hospitality & personal services",Engineering & related technologies,
"Food, hospitality & personal services","Food, hospitality & personal services",
"Food, hospitality & personal services",Health,
"Food, hospitality & personal services",Information technology,
"Food, hospitality & personal services",Management & commerce,
"Food, hospitality & personal services",Mixed field programmes,
"Food, hospitality & personal services",Natural & physical sciences,
"Food, hospitality & personal services",Society & culture,
Health,"Agriculture, environmental & related studies",0.0
Health,Architecture & building,0.3
Health,Creative arts,0.5
Health,Education,2.5
Health,Engineering & related technologies,0.5
Health,"Food, hospitality & personal services",0.3
Health,Health,79.7
Health,Information technology,0.8
Health,Management & commerce,1.5
Health,Mixed field programmes,1.8
Health,Natural & physical sciences,7.8
Health,Society & culture,4.3
Information technology,"Agriculture, environmental & related studies",0.0
Information technology,Architecture & building,0.0
Information technology,Creative arts,1.3
Information technology,Education,1.3
Information technology,Engineering & related technologies,6.3
Information technology,"Food, hospitality & personal services",0.0
Information technology,Health,1.3
Information technology,Information technology,66.3
Information technology,Management & commerce,11.3
Information technology,Mixed field programmes,1.3
Information technology,Natural & physical sciences,5.0
Information technology,Society & culture,6.3
Management & commerce,"Agriculture, environmental & related studies",1.0
Management & commerce,Architecture & building,2.0
Management & commerce,Creative arts,0.0
Management & commerce,Education,3.3
