"Further full-time study by gender among postgraduate research students from all provider types by study area, 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Back to INDEX,,,,,,,
,,,,,,,
,,In full-time study – Male,In full-time study – Female,In full-time study – Total,Not in full-time study – Male,Not in full-time study – Female,Not in full-time study – Total
,Agriculture and environmental studies,0.0,1.4,1.0,100.0,98.6,99.0
,Architecture and built environment,,3.8,8.8,,96.2,91.2
,Business and management,10.4,1.1,5.8,89.6,98.9,94.2
,Communications,,0.0,0.0,,100.0,100.0
,Computing and information systems,4.1,14.3,7.8,95.9,85.7,92.2
,Creative arts,5.1,7.4,6.5,94.9,92.6,93.5
,Dentistry,,,,,,
,Engineering,4.4,11.2,6.5,95.6,88.8,93.5
,Health services and support,3.8,2.3,2.8,96.2,97.7,97.2
,"Humanities, culture and social sciences",4.4,5.2,5.0,95.6,94.8,95.0
,Law and paralegal studies,,2.5,5.1,,97.5,94.9
,Medicine,5.3,4.4,4.7,94.7,95.6,95.3
,Nursing,,4.7,6.8,,95.3,93.2
,Pharmacy,,3.8,2.5,,96.2,97.5
,Psychology,0.0,3.0,2.2,100.0,97.0,97.8
,Rehabilitation,,,,,,
,Science and mathematics,4.7,6.2,5.4,95.3,93.8,94.6
,Social work,,,,,,
,Teacher education,8.2,6.7,7.1,91.8,93.3,92.9
,"Tourism, hospitality, personal services, sport and recreation",,,,,,
,Veterinary science,,,,,,
,Total,5.3,5.0,5.1,94.7,95.0,94.9
,,,,,,,
Column variables:,,,,,,,
Gender: E315,,,,,,,
FURSTUD,,,,,,,
YEAR,,,,,,,
,,,,,,,
Column filters:,,,,,,,
"FURSTUD != (NA, 99)",,,,,,,
"Data for all columns is filtered to: ANALYSIS = (1:2), Postgraduate research: LEVEL = 3, e942 = 0",,,,,,,
,,,,,,,
Row variables:,,,,,,,
AREA,,,,,,,
,,,,,,,
Row notes:,,,,,,,
"Where a student completes a second course in a double degree in a different study area, the outcomes are included in both study areas.",,,,,,,
