"Broad field of education among undergraduates and all provider types by further full-time study, 2024",Unnamed: 1,Unnamed: 2
Back to INDEX,,
,,
,,In full-time study in 2024
"Agriculture, environmental & related studies","Agriculture, environmental & related studies",36.4
"Agriculture, environmental & related studies",Architecture & building,0.0
"Agriculture, environmental & related studies",Creative arts,1.7
"Agriculture, environmental & related studies",Education,11.0
"Agriculture, environmental & related studies",Engineering & related technologies,0.0
"Agriculture, environmental & related studies","Food, hospitality & personal services",0.0
"Agriculture, environmental & related studies",Health,12.7
"Agriculture, environmental & related studies",Information technology,0.8
"Agriculture, environmental & related studies",Management & commerce,2.5
"Agriculture, environmental & related studies",Mixed field programmes,4.2
"Agriculture, environmental & related studies",Natural & physical sciences,29.7
"Agriculture, environmental & related studies",Society & culture,0.8
Architecture & building,"Agriculture, environmental & related studies",0.6
Architecture & building,Architecture & building,84.0
Architecture & building,Creative arts,3.6
Architecture & building,Education,1.8
Architecture & building,Engineering & related technologies,1.2
Architecture & building,"Food, hospitality & personal services",0.0
Architecture & building,Health,1.2
Architecture & building,Information technology,0.6
Architecture & building,Management & commerce,2.4
Architecture & building,Mixed field programmes,0.0
Architecture & building,Natural & physical sciences,0.6
Architecture & building,Society & culture,2.4
Creative arts,"Agriculture, environmental & related studies",0.7
Creative arts,Architecture & building,1.5
Creative arts,Creative arts,57.0
Creative arts,Education,10.1
Creative arts,Engineering & related technologies,1.0
Creative arts,"Food, hospitality & personal services",0.2
Creative arts,Health,2.8
Creative arts,Information technology,3.1
Creative arts,Management & commerce,3.6
Creative arts,Mixed field programmes,3.1
Creative arts,Natural & physical sciences,1.5
Creative arts,Society & culture,13.4
Education,"Agriculture, environmental & related studies",0.3
Education,Architecture & building,0.0
Education,Creative arts,2.3
Education,Education,66.3
Education,Engineering & related technologies,0.0
Education,"Food, hospitality & personal services",0.8
Education,Health,11.1
Education,Information technology,1.0
Education,Management & commerce,3.0
Education,Mixed field programmes,2.8
Education,Natural & physical sciences,3.8
Education,Society & culture,8.8
Engineering & related technologies,"Agriculture, environmental & related studies",0.0
Engineering & related technologies,Architecture & building,0.9
Engineering & related technologies,Creative arts,1.2
Engineering & related technologies,Education,0.9
Engineering & related technologies,Engineering & related technologies,87.3
Engineering & related technologies,"Food, hospitality & personal services",0.0
Engineering & related technologies,Health,2.0
Engineering & related technologies,Information technology,2.3
Engineering & related technologies,Management & commerce,0.9
Engineering & related technologies,Mixed field programmes,1.7
Engineering & related technologies,Natural & physical sciences,2.3
Engineering & related technologies,Society & culture,0.6
"Food, hospitality & personal services","Agriculture, environmental & related studies",
"Food, hospitality & personal services",Architecture & building,
"Food, hospitality & personal services",Creative arts,
"Food, hospitality & personal services",Education,
"Food, hospitality & personal services",Engineering & related technologies,
"Food, hospitality & personal services","Food, hospitality & personal services",
"Food, hospitality & personal services",Health,
"Food, hospitality & personal services",Information technology,
"Food, hospitality & personal services",Management & commerce,
"Food, hospitality & personal services",Mixed field programmes,
"Food, hospitality & personal services",Natural & physical sciences,
"Food, hospitality & personal services",Society & culture,
Health,"Agriculture, environmental & related studies",0.7
Health,Architecture & building,0.0
Health,Creative arts,0.6
Health,Education,5.9
Health,Engineering & related technologies,0.3
Health,"Food, hospitality & personal services",0.7
Health,Health,70.5
Health,Information technology,0.6
Health,Management & commerce,0.7
Health,Mixed field programmes,1.6
Health,Natural & physical sciences,13.2
Health,Society & culture,5.1
Information technology,"Agriculture, environmental & related studies",0.4
Information technology,Architecture & building,0.4
Information technology,Creative arts,2.0
Information technology,Education,1.6
Information technology,Engineering & related technologies,8.5
Information technology,"Food, hospitality & personal services",0.0
Information technology,Health,1.2
Information technology,Information technology,71.1
Information technology,Management & commerce,4.1
Information technology,Mixed field programmes,1.2
Information technology,Natural & physical sciences,6.9
Information technology,Society & culture,2.4
