"Employment outcomes (FTE, OE) among postgraduate coursework students from all provider types by average actual and usual hours worked per week by survey round 2022-2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Back to INDEX,,,,
,,,,
,,Part-time employment,Full-time employment,Overall employment
Actual hours,2022 - November,22.4,42.3,38.2
Actual hours,2022 - February,22.4,42.2,38.6
Actual hours,2022 - May,22.8,41.7,37.7
Actual hours,2022 - Total,22.6,42.0,38.0
Actual hours,2023 - November,23.2,42.7,38.6
Actual hours,2023 - February,22.6,42.3,38.9
Actual hours,2023 - May,23.3,42.4,38.3
Actual hours,2023 - Total,23.2,42.5,38.5
Actual hours,2024 - November,22.9,42.3,37.9
Actual hours,2024 - February,22.5,42.5,38.5
Actual hours,2024 - May,23.5,41.9,37.7
Actual hours,2024 - Total,23.2,42.1,37.8
Usual hours,2022 - November,23.0,41.9,37.8
Usual hours,2022 - February,23.4,42.2,38.6
Usual hours,2022 - May,23.8,42.1,38.2
Usual hours,2022 - Total,23.5,42.1,38.1
Usual hours,2023 - November,23.6,42.1,38.1
Usual hours,2023 - February,23.3,42.3,38.8
Usual hours,2023 - May,23.9,41.8,37.9
Usual hours,2023 - Total,23.7,42.0,38.1
Usual hours,2024 - November,23.4,41.7,37.6
Usual hours,2024 - February,23.2,42.0,38.1
Usual hours,2024 - May,24.2,41.6,37.5
Usual hours,2024 - Total,23.8,41.7,37.6
,,,,
Column variables:,,,,
FULLEMP,,,,
GENEMP,,,,
PARTEMP,,,,
,,,,
Column filters:,,,,
FT: FULLEMP = 1,,,,
OE: GENEMP = 1,,,,
PT: PARTEMP = 1,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Postgraduate coursework: LEVEL = 2, e942 = 0",,,,
,,,,
Row variables:,,,,
ACTLHRS,,,,
PERIOD,,,,
USLHRS,,,,
YEAR,,,,
,,,,
Row notes:,,,,
Hours constrained to ACTLHRS <= 168 (24 * 7) to ensure only valid values are included.,,,,
