"Employment outcomes (FTE, OE) among postgraduate research students from all provider types by average actual and usual hours worked per week by survey round 2022-2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Back to INDEX,,,,
,,,,
,,Part-time employment,Full-time employment,Overall employment
Actual hours,2022 - November,19.8,42.0,36.5
Actual hours,2022 - February,19.0,40.5,35.9
Actual hours,2022 - May,19.6,41.2,36.6
Actual hours,2022 - Total,19.6,41.4,36.4
Actual hours,2023 - November,20.2,41.7,36.9
Actual hours,2023 - February,20.6,41.0,36.7
Actual hours,2023 - May,19.9,41.7,36.8
Actual hours,2023 - Total,20.2,41.5,36.9
Actual hours,2024 - November,19.7,41.3,36.6
Actual hours,2024 - February,21.6,40.7,36.2
Actual hours,2024 - May,20.4,42.1,36.5
Actual hours,2024 - Total,20.4,41.5,36.5
Usual hours,2022 - November,20.3,42.3,36.8
Usual hours,2022 - February,20.2,41.4,36.8
Usual hours,2022 - May,19.9,42.1,37.3
Usual hours,2022 - Total,20.2,42.1,36.9
Usual hours,2023 - November,21.2,42.0,37.3
Usual hours,2023 - February,22.3,41.4,37.3
Usual hours,2023 - May,20.8,41.7,36.8
Usual hours,2023 - Total,21.3,41.8,37.1
Usual hours,2024 - November,20.6,41.3,36.7
Usual hours,2024 - February,22.1,41.1,36.4
Usual hours,2024 - May,20.4,41.9,36.3
Usual hours,2024 - Total,20.8,41.5,36.5
,,,,
Column variables:,,,,
FULLEMP,,,,
GENEMP,,,,
PARTEMP,,,,
,,,,
Column filters:,,,,
FT: FULLEMP = 1,,,,
OE: GENEMP = 1,,,,
PT: PARTEMP = 1,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Postgraduate research: LEVEL = 3, e942 = 0",,,,
,,,,
Row variables:,,,,
ACTLHRS,,,,
PERIOD,,,,
USLHRS,,,,
YEAR,,,,
,,,,
Row notes:,,,,
Hours constrained to ACTLHRS <= 168 (24 * 7) to ensure only valid values are included.,,,,
