"Employment outcomes (FTE, OE) among undergraduates from all provider types by average actual and usual hours worked per week 2022-2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Back to INDEX,,,,
,,,,
,,Part-time employment,Full-time employment,Overall employment
Actual hours,2022,20.1,40.7,33.7
Actual hours,2023,20.6,41.2,34.1
Actual hours,2024,20.4,41.0,33.3
Actual hours,Total,20.4,41.0,33.7
Usual hours,2022,20.6,40.9,33.8
Usual hours,2023,21.0,40.8,33.9
Usual hours,2024,20.9,40.7,33.2
Usual hours,Total,20.8,40.8,33.6
,,,,
Column variables:,,,,
FULLEMP,,,,
GENEMP,,,,
PARTEMP,,,,
,,,,
Column filters:,,,,
FT: FULLEMP = 1,,,,
OE: GENEMP = 1,,,,
PT: PARTEMP = 1,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Undergraduate: LEVEL = 1, e942 = 0",,,,
,,,,
Row variables:,,,,
ACTLHRS,,,,
USLHRS,,,,
YEAR,,,,
,,,,
Row notes:,,,,
Hours constrained to ACTLHRS <= 168 (24 * 7) to ensure only valid values are included.,,,,
