"Employment outcomes (FTE, OE) among undergraduates from all provider types by average actual and usual hours worked per week by survey round 2022-2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Back to INDEX,,,,
,,,,
,,Part-time employment,Full-time employment,Overall employment
Actual hours,2022 - November,20.3,41.0,34.1
Actual hours,2022 - February,21.1,41.1,34.5
Actual hours,2022 - May,20.0,40.6,33.5
Actual hours,2022 - Total,20.1,40.7,33.7
Actual hours,2023 - November,21.0,41.4,34.7
Actual hours,2023 - February,21.0,41.3,34.8
Actual hours,2023 - May,20.4,41.2,33.8
Actual hours,2023 - Total,20.6,41.2,34.1
Actual hours,2024 - November,20.9,41.4,34.2
Actual hours,2024 - February,20.9,41.2,34.2
Actual hours,2024 - May,20.2,40.9,33.0
Actual hours,2024 - Total,20.4,41.0,33.3
Usual hours,2022 - November,20.7,40.9,33.9
Usual hours,2022 - February,22.2,41.4,34.7
Usual hours,2022 - May,20.5,40.9,33.7
Usual hours,2022 - Total,20.6,40.9,33.8
Usual hours,2023 - November,21.5,40.9,34.4
Usual hours,2023 - February,21.5,41.4,34.8
Usual hours,2023 - May,20.8,40.8,33.6
Usual hours,2023 - Total,21.0,40.8,33.9
Usual hours,2024 - November,21.4,40.7,33.8
Usual hours,2024 - February,21.6,41.0,34.3
Usual hours,2024 - May,20.7,40.6,32.9
Usual hours,2024 - Total,20.9,40.7,33.2
,,,,
Column variables:,,,,
FULLEMP,,,,
GENEMP,,,,
PARTEMP,,,,
,,,,
Column filters:,,,,
FT: FULLEMP = 1,,,,
OE: GENEMP = 1,,,,
PT: PARTEMP = 1,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Undergraduate: LEVEL = 1, e942 = 0",,,,
,,,,
Row variables:,,,,
ACTLHRS,,,,
PERIOD,,,,
USLHRS,,,,
YEAR,,,,
,,,,
Row notes:,,,,
Hours constrained to ACTLHRS <= 168 (24 * 7) to ensure only valid values are included.,,,,
