"Employment outcomes (FTE, OE, LF, SAL), 2022-2024 among postgraduate coursework students from non-university higher education institutes (NUHEIs) by institution",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Back to INDEX,,,,,
,,,,,
,,Full-time employment,Overall employment,Labour force participation rate,Median annual full-time salaries ($)
,Academies Australasia Polytechnic Pty Limited,,,,
,Academy of Interactive Technology,,,,
,Adelaide Central School of Art,,,,
,Adelaide Institute of Higher Education,,,,
,Alphacrucis University College,"91.6 (85.6, 94.9)","93.1 (88.8, 95.5)","90.6 (86.3, 93.3)","83,300 (71,600, 95,000)"
,Asia Pacific International College,,,,
,Australasian College of Health and Wellness,,,,
,Australia Advance Education Group Pty Ltd,,,,
,Australian Academy of Music and Performing Arts,,,,
,ACAP University College,"71.9 (67.9, 75.6)","86.1 (83.6, 88.1)","91.4 (89.4, 92.9)","90,000 (87,000, 93,000)"
,Australian College of Christian Studies,,,,
,Australian College of Nursing,"94.9 (93.1, 96.1)","95.9 (94.7, 96.8)","95.4 (94.2, 96.3)","95,000 (92,500, 97,500)"
,Australian Institute of Business Pty Ltd,"94.7 (93.7, 95.5)","96.1 (95.2, 96.7)","97.2 (96.4, 97.7)","120,000 (116,100, 123,900)"
,Australian Institute of Higher Education,,,,
,Australian Institute of Management Education & Training,"94.1 (92.8, 95.0)","96.0 (94.9, 96.7)","97.0 (96.1, 97.7)","135,000 (129,500, 140,500)"
,Australian Institute of Professional Counsellors,,,,
,Australian University of Theology*,"90.9 (88.3, 92.9)","93.2 (91.5, 94.5)","86.3 (84.4, 87.9)","77,000 (72,700, 81,300)"
,BBI - The Australian Institute of Theological Education,"95.9 (90.5, 98.2)","96.5 (91.8, 98.4)","94.5 (89.6, 96.9)","110,000 (103,700, 116,300)"
,Box Hill Institute,,"85.2 (72.9, 91.0)","90.0 (79.3, 94.0)",
,Campion College Australia,,,,
,Chartered Accountants Australia and New Zealand,"98.1 (96.9, 98.8)","97.6 (96.3, 98.4)","97.8 (96.6, 98.6)","90,000 (88,700, 91,300)"
,Chisholm Institute,"83.3 (74.9, 88.3)","91.8 (85.9, 94.1)","93.8 (88.7, 95.5)","93,700 (89,200, 98,200)"
,Christian Heritage College,"92.3 (85.5, 94.9)","94.4 (90.1, 95.6)","96.0 (92.1, 96.7)","96,000 (86,900, 105,100)"
,CIC Higher Education,,,,
,Collarts (Australian College of the Arts),,,,
,Crown Institute of Higher Education Pty Ltd,,,,
,Eastern College Australia,,"85.2 (77.4, 86.6)",90.0,
,Endeavour College of Natural Health,,,,
,Engineering Institute of Technology,"93.2 (87.7, 95.8)","95.9 (90.9, 97.7)","97.4 (92.8, 98.7)","110,000 (95,600, 124,400)"
,Excelsia University College,"81.7 (74.6, 86.8)","89.8 (85.2, 92.6)","90.1 (85.9, 92.6)","90,700 (79,900, 101,500)"
,Gestalt Therapy Brisbane,"77.8 (65.2, 85.3)","86.8 (81.4, 88.6)","89.8 (85.7, 90.4)",
,Governance Institute of Australia,"96.2 (92.7, 98.1)","96.0 (92.6, 97.9)","98.9 (96.5, 99.8)","168,000 (151,200, 184,800)"
,Health Education & Training Institute,"96.5 (92.0, 96.8)","97.7 (93.0, 99.6)","96.7 (91.8, 98.9)","101,100 (95,900, 106,200)"
,HEPCO The Tax Institute Higher Education,100.0,100.0,100.0,"118,000 (100,900, 135,100)"
,Holmes Institute,,,,
,Holmesglen Institute,,,,
,ICHM,,,,
,Ikon Institute of Australia,,,,
,Institute of Health & Management Pty Ltd,,,"88.5 (73.8, 95.8)",
,"International College of Management, Sydney",,,,
,ISN Psychology Pty Ltd,"88.6 (77.3, 94.3)","93.2 (86.4, 96.2)","98.3 (93.0, 99.5)","90,000 (87,000, 93,000)"
,Jazz Music Institute,,,,
