"Employment outcomes (FTE, OE, LF, SAL), 2022-2024 among postgraduate research students from universities by institution",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Back to INDEX,,,,,
,,,,,
,,Full-time employment,Overall employment,Labour force participation rate,Median annual full-time salaries ($)
,Australian Catholic University,"94.4 (88.0, 96.7)","91.5 (86.3, 93.8)","97.3 (93.1, 98.1)","110,900 (100,300, 121,500)"
,Avondale University,,,,
,Bond University,,"93.1 (82.3, 96.5)",100.0,
,Central Queensland University,"79.2 (70.4, 84.9)","90.5 (84.6, 93.0)","96.9 (92.3, 97.8)","102,600 (84,200, 121,000)"
,Charles Darwin University,"87.0 (79.2, 91.4)","92.2 (86.1, 94.8)","95.5 (90.3, 97.2)","112,000 (102,400, 121,600)"
,Charles Sturt University,"86.2 (79.6, 89.8)","92.1 (87.2, 94.2)","92.7 (88.2, 94.4)","102,500 (96,600, 108,400)"
,Curtin University,"88.1 (84.9, 90.4)","92.8 (90.4, 94.2)","94.8 (92.9, 96.0)","100,400 (96,400, 104,300)"
,Deakin University,"83.3 (80.3, 85.8)","91.3 (89.3, 92.7)","93.3 (91.5, 94.4)","95,000 (92,300, 97,700)"
,Edith Cowan University,"84.5 (80.0, 87.5)","93.1 (90.3, 94.5)","97.0 (94.7, 97.7)","101,000 (94,400, 107,600)"
,Federation University Australia,"71.4 (62.5, 78.1)","91.5 (85.3, 94.1)","88.1 (82.4, 90.8)","100,500 (84,500, 116,400)"
,Flinders University,"79.7 (75.4, 83.0)","89.9 (87.2, 91.7)","95.8 (93.8, 96.8)","99,100 (95,500, 102,800)"
,Griffith University,"82.2 (78.8, 84.9)","90.4 (88.1, 92.1)","96.3 (94.6, 97.2)","99,000 (94,400, 103,600)"
,James Cook University,"83.8 (78.4, 87.5)","94.2 (91.0, 95.6)","95.1 (92.3, 96.3)","93,200 (86,600, 99,700)"
,La Trobe University,"88.1 (84.6, 90.6)","94.7 (92.6, 96.0)","92.8 (90.7, 94.2)","97,700 (94,100, 101,300)"
,Macquarie University,"82.3 (79.4, 84.8)","90.3 (88.4, 91.7)","88.9 (87.1, 90.2)","95,000 (91,100, 98,900)"
,Monash University,"82.9 (80.9, 84.6)","91.1 (89.8, 92.1)","97.3 (96.5, 97.8)","98,300 (96,800, 99,800)"
,Murdoch University,"83.3 (78.1, 87.1)","92.3 (88.8, 94.2)","96.6 (93.9, 97.7)","90,500 (83,900, 97,100)"
,Queensland University of Technology,"84.4 (81.6, 86.6)","89.4 (87.2, 91.0)","97.1 (95.6, 97.8)","99,100 (96,600, 101,600)"
,RMIT University,"72.6 (68.6, 76.1)","82.6 (79.5, 85.1)","95.8 (93.9, 96.9)","99,100 (94,700, 103,500)"
,Southern Cross University,"87.2 (78.8, 91.6)","86.9 (80.3, 90.3)","96.8 (91.9, 97.9)","108,000 (91,700, 124,300)"
,Swinburne University of Technology,"84.0 (78.5, 87.7)","95.7 (92.2, 97.0)","94.3 (90.8, 95.8)","106,000 (99,000, 113,000)"
,The Australian National University,"90.6 (88.2, 92.4)","94.9 (93.2, 96.0)","95.7 (94.1, 96.6)","102,500 (99,700, 105,300)"
,The University of Adelaide,"80.9 (77.9, 83.3)","88.9 (86.8, 90.5)","95.0 (93.4, 95.9)","92,000 (89,200, 94,800)"
,The University of Melbourne,"85.3 (83.6, 86.7)","94.0 (93.0, 94.8)","95.9 (95.0, 96.4)","101,000 (98,700, 103,300)"
,The University of Notre Dame Australia,"89.7 (80.8, 93.6)","88.5 (81.7, 91.5)","92.9 (87.1, 94.6)","122,000 (100,400, 143,600)"
,The University of Queensland,"86.6 (84.7, 88.2)","92.0 (90.6, 93.1)","96.4 (95.4, 97.0)","96,000 (93,800, 98,200)"
