"Employment outcomes (FTE, OE, LF, SAL), 2022-2024 among undergraduates from non-university higher education institutes (NUHEIs) by institution",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Back to INDEX,,,,,
,,,,,
,,Full-time employment,Overall employment,Labour force participation rate,Median annual full-time salaries ($)
,Academies Australasia Polytechnic Pty Limited,,,,
,Academy of Interactive Technology,"63.6 (58.1, 68.6)","76.9 (72.3, 80.8)","92.4 (89.3, 94.5)","69,200 (65,400, 73,000)"
,Adelaide Central School of Art,,"83.3 (76.0, 87.1)","77.4 (72.3, 80.2)",
,Adelaide Institute of Higher Education,,,,
,Alphacrucis University College,"77.4 (71.8, 82.0)","90.1 (87.0, 92.4)","87.7 (84.7, 90.1)","64,100 (56,900, 71,300)"
,Asia Pacific International College,,,,
,Australasian College of Health and Wellness,"76.4 (68.9, 82.3)","84.8 (79.8, 88.5)","89.6 (85.5, 92.4)","70,300 (65,600, 75,100)"
,Australia Advance Education Group Pty Ltd,,,,
,Australian Academy of Music and Performing Arts,,"84.0 (69.4, 91.9)","92.6 (80.1, 97.4)",
,ACAP University College,"73.9 (69.4, 77.9)","85.1 (82.3, 87.5)","88.9 (86.5, 90.8)","75,800 (73,100, 78,500)"
,Australian College of Christian Studies,,,,
,Australian College of Nursing,,,,
,Australian Institute of Business Pty Ltd,,,,
,Australian Institute of Higher Education,,,,
,Australian Institute of Management Education & Training,,,,
,Australian Institute of Professional Counsellors,,,,
,Australian University of Theology*,"78.5 (73.0, 83.0)","87.9 (85.0, 90.1)","81.3 (78.5, 83.7)","65,000 (59,300, 70,700)"
,BBI - The Australian Institute of Theological Education,,,,
,Box Hill Institute,"61.2 (50.3, 70.9)","76.1 (67.8, 82.4)","92.2 (86.1, 95.4)",
,Campion College Australia,"66.7 (52.6, 77.7)","77.3 (67.6, 83.8)","97.8 (91.0, 99.1)",
,Chartered Accountants Australia and New Zealand,,,,
,Chisholm Institute,,"76.0 (62.7, 84.2)","96.2 (85.4, 98.3)",
,Christian Heritage College,"81.3 (69.1, 88.5)","93.3 (87.5, 95.5)","84.5 (78.8, 87.6)",
,CIC Higher Education,,,,
,Collarts (Australian College of the Arts),"50.6 (44.9, 56.3)","80.5 (76.7, 83.6)","93.9 (91.4, 95.5)","55,500 (50,000, 61,000)"
,Crown Institute of Higher Education Pty Ltd,,,,
,Eastern College Australia,,,,
,Endeavour College of Natural Health,"72.2 (67.6, 76.3)","88.0 (85.7, 89.9)","91.4 (89.4, 92.9)","62,600 (57,400, 67,900)"
,Engineering Institute of Technology,"96.9 (88.6, 97.9)","96.9 (88.6, 97.9)",100.0,
,Excelsia University College,,,,
,Gestalt Therapy Brisbane,,,,
,Governance Institute of Australia,,,,
,Health Education & Training Institute,,,,
,HEPCO The Tax Institute Higher Education,,,,
,Holmes Institute,,,,
,Holmesglen Institute,"78.6 (70.1, 84.9)","88.3 (82.7, 92.1)","97.2 (93.3, 98.7)","68,000 (62,400, 73,600)"
,ICHM,,,,
,Ikon Institute of Australia,"52.0 (41.9, 61.9)","80.7 (74.4, 85.2)","88.9 (83.9, 91.8)",
,Institute of Health & Management Pty Ltd,,,,
,"International College of Management, Sydney","73.4 (65.9, 79.6)","89.5 (83.9, 93.1)",100.0,"60,000 (55,300, 64,700)"
,ISN Psychology Pty Ltd,"58.8 (45.8, 70.5)","78.8 (70.7, 84.6)","80.5 (73.7, 85.3)",
,Jazz Music Institute,,,,
,Kaplan Business School,,,,
,Kaplan Higher Education Pty Ltd,,,,
,King's Own Institute,,,,
,LCI Melbourne,"61.8 (49.6, 72.1)","87.2 (78.7, 91.7)","88.7 (81.2, 92.4)",
,Le Cordon Bleu Australia,,,,
,Leaders Institute,,,,
,Leo Cussen Centre for Law,,,,
,Lyons College,,,,
