"Employment outcomes (FTE, OE, LF, SAL) among undergraduates from universities by gender, 2023-2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Back to INDEX,,,,,
,,,,,
,,Full-time employment,Overall employment,Labour force participation rate,Median annual full-time salaries ($)
2023,Male,78.7,87.2,92.6,"73,100"
2023,Female,79.8,90.1,92.6,"70,000"
2023,Total,79.4,89.1,92.6,"71,000"
2024,Male,73.2,85.0,92.1,"76,000"
2024,Female,75.2,88.2,93.0,"73,400"
2024,Total,74.4,87.1,92.7,"75,000"
,,,,,
Column variables:,,,,,
AVAILEMP,,,,,
AVAILFT,,,,,
FULLEMP,,,,,
GENEMP,,,,,
SALARYA,,,,,
TRIMSAL_ALL,,,,,
,,,,,
Column filters:,,,,,
OE: AVAILEMP = 1,,,,,
FTE: AVAILFT = 1,,,,,
"SAL: FULLEMP = 1, TRIMSAL_ALL = 1",,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Undergraduate: LEVEL = 1, University: HEPTYPE = 1, e942 = 0",,,,,
,,,,,
Row variables:,,,,,
YEAR,,,,,
Gender: E315,,,,,
