"Employment outcomes (FTE, OE, LF, SAL), 2022-2024 among undergraduates from universities by institution",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Back to INDEX,,,,,
,,,,,
,,Full-time employment,Overall employment,Labour force participation rate,Median annual full-time salaries ($)
,Australian Catholic University,"81.6 (80.6, 82.6)","91.0 (90.4, 91.6)","94.2 (93.7, 94.6)","70,500 (69,800, 71,100)"
,Avondale University,"88.8 (83.6, 92.2)","94.6 (91.1, 96.5)","93.1 (89.5, 95.2)","70,200 (69,300, 71,100)"
,Bond University,"76.1 (71.7, 79.9)","83.6 (80.5, 86.1)","91.2 (88.9, 93.0)","65,700 (63,000, 68,500)"
,Central Queensland University,"85.5 (84.4, 86.6)","92.8 (92.1, 93.4)","94.3 (93.7, 94.8)","77,700 (77,000, 78,500)"
,Charles Darwin University,"83.9 (82.4, 85.2)","89.4 (88.4, 90.2)","93.4 (92.6, 94.0)","75,100 (74,500, 75,800)"
,Charles Sturt University,"90.4 (89.6, 91.1)","93.9 (93.3, 94.4)","94.8 (94.3, 95.2)","75,100 (74,500, 75,700)"
,Curtin University,"81.2 (80.1, 82.3)","89.9 (89.1, 90.6)","93.2 (92.6, 93.7)","73,400 (72,300, 74,500)"
,Deakin University,"77.4 (76.6, 78.2)","90.5 (90.0, 90.9)","93.7 (93.4, 94.1)","69,100 (68,200, 70,000)"
,Edith Cowan University,"76.0 (74.7, 77.4)","88.9 (88.1, 89.7)","94.1 (93.6, 94.7)","72,900 (72,100, 73,700)"
,Federation University Australia,"78.3 (76.2, 80.2)","89.2 (88.0, 90.3)","93.5 (92.6, 94.3)","71,400 (69,900, 72,900)"
,Flinders University,"74.6 (73.1, 76.0)","87.9 (87.0, 88.6)","92.0 (91.4, 92.6)","70,000 (69,500, 70,500)"
,Griffith University,"72.2 (71.1, 73.3)","86.8 (86.1, 87.5)","93.1 (92.6, 93.6)","70,000 (69,600, 70,400)"
,James Cook University,"86.0 (84.6, 87.3)","91.4 (90.4, 92.3)","93.8 (93.0, 94.5)","73,100 (71,700, 74,400)"
,La Trobe University,"77.5 (76.3, 78.7)","89.0 (88.3, 89.7)","92.7 (92.2, 93.3)","69,400 (68,700, 70,100)"
,Macquarie University,"74.4 (73.3, 75.5)","86.8 (86.1, 87.5)","92.6 (92.1, 93.1)","70,000 (69,500, 70,500)"
,Monash University,"78.8 (78.0, 79.6)","88.7 (88.2, 89.2)","92.1 (91.7, 92.5)","71,000 (70,200, 71,800)"
,Murdoch University,"70.4 (68.4, 72.2)","86.6 (85.4, 87.7)","93.3 (92.5, 94.1)","73,000 (71,800, 74,200)"
,Queensland University of Technology,"78.8 (78.0, 79.6)","89.7 (89.2, 90.2)","95.2 (94.9, 95.6)","70,000 (69,700, 70,300)"
,RMIT University,"68.4 (67.4, 69.3)","84.3 (83.7, 84.9)","93.3 (92.9, 93.7)","66,000 (65,000, 67,000)"
,Southern Cross University,"80.5 (78.8, 82.0)","90.1 (89.1, 91.0)","92.8 (91.9, 93.5)","73,000 (71,900, 74,100)"
,Swinburne University of Technology,"76.0 (74.9, 77.2)","87.5 (86.7, 88.2)","92.9 (92.3, 93.4)","73,000 (72,100, 73,900)"
,The Australian National University,"78.4 (77.0, 79.8)","87.7 (86.7, 88.6)","91.9 (91.1, 92.5)","71,900 (71,100, 72,700)"
,The University of Adelaide,"73.8 (72.4, 75.1)","85.5 (84.7, 86.3)","90.0 (89.3, 90.6)","69,400 (68,200, 70,600)"
,The University of Melbourne,"66.7 (65.4, 68.0)","84.9 (84.3, 85.5)","87.5 (87.0, 88.0)","65,200 (64,700, 65,700)"
,The University of Notre Dame Australia,"86.3 (84.7, 87.8)","91.6 (90.5, 92.5)","94.5 (93.6, 95.2)","70,000 (69,400, 70,600)"
