"Occupation level, full-time employed, 2024, among postgraduate research students from all provider types by broad field of education",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Back to INDEX,,,,,,,,
,,,,,,,,
,,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Other occupations,Total
,"Agriculture, environmental & related studies",1.4,73.2,2.8,1.4,15.5,5.6,100.0
,Architecture & building,,,,,,,
,Creative arts,12.9,74.3,3.0,0.0,6.9,3.0,100.0
,Education,20.4,73.2,0.0,2.1,4.2,0.0,100.0
,Engineering & related technologies,4.4,89.8,1.3,0.0,3.1,1.3,100.0
,"Food, hospitality & personal services",,,,,,,
,Health,8.5,84.2,1.8,0.6,4.6,0.4,100.0
,Information technology,9.1,87.3,0.0,0.0,1.8,1.8,100.0
,Management & commerce,27.5,67.9,0.0,0.0,4.6,0.0,100.0
,Mixed field programmes,,,,,,,
,Natural & physical sciences,3.8,85.1,4.0,0.2,6.2,0.7,100.0
,Society & culture,9.0,79.8,0.6,1.0,9.2,0.4,100.0
,Total,8.7,81.8,1.9,0.6,6.3,0.8,100.0
,,,,,,,,
Column variables:,,,,,,,,
ANZSCO,,,,,,,,
FULLEMP,,,,,,,,
YEAR,,,,,,,,
,,,,,,,,
Column filters:,,,,,,,,
FULLEMP = 1,,,,,,,,
"Data for all columns is filtered to: ANALYS12 = (1:2), Postgraduate research: LEVEL = 3, e942 = 0",,,,,,,,
,,,,,,,,
Row variables:,,,,,,,,
BROADFOE,,,,,,,,
ANALYS12,,,,,,,,
,,,,,,,,
Row notes:,,,,,,,,
"Where a graduate continues to combined degrees across two study areas, their outcomes are included in both study areas. ‘All study areas’ figures count each graduate once only (ANALYS12 =1).",,,,,,,,
