"Occupation level, full-time employed, 2024, among undergraduates from all provider types by broad field of education",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Back to INDEX,,,,,,,,
,,,,,,,,
,,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Other occupations,Total
,"Agriculture, environmental & related studies",10.9,49.3,8.4,5.4,11.4,14.6,100.0
,Architecture & building,14.0,39.6,21.5,2.2,17.4,5.4,100.0
,Creative arts,9.8,47.6,5.7,8.0,18.0,10.9,100.0
,Education,3.7,84.2,0.8,8.0,2.1,1.1,100.0
,Engineering & related technologies,4.0,82.6,6.9,0.9,2.5,3.1,100.0
,"Food, hospitality & personal services",,,,,,,
,Health,2.7,74.9,1.8,13.5,4.2,2.9,100.0
,Information technology,4.5,77.2,7.5,1.7,5.6,3.5,100.0
,Management & commerce,12.1,55.1,2.0,3.7,21.6,5.6,100.0
,Mixed field programmes,3.4,72.4,20.7,0.0,3.4,0.0,100.0
,Natural & physical sciences,4.4,54.7,12.9,6.3,12.8,9.0,100.0
,Society & culture,8.5,46.3,1.7,12.9,25.6,5.1,100.0
,Total,7.0,61.8,4.2,8.9,13.0,5.1,100.0
,,,,,,,,
Column variables:,,,,,,,,
ANZSCO,,,,,,,,
FULLEMP,,,,,,,,
YEAR,,,,,,,,
,,,,,,,,
Column filters:,,,,,,,,
FULLEMP = 1,,,,,,,,
"Data for all columns is filtered to: ANALYS12 = (1:2), Undergraduate: LEVEL = 1, e942 = 0",,,,,,,,
,,,,,,,,
Row variables:,,,,,,,,
BROADFOE,,,,,,,,
ANALYS12,,,,,,,,
,,,,,,,,
Row notes:,,,,,,,,
"Where a graduate continues to combined degrees across two study areas, their outcomes are included in both study areas. ‘All study areas’ figures count each graduate once only (ANALYS12 =1).",,,,,,,,
