"Occupation level, overall employed, 2024, among postgraduate coursework students from all provider types by study area",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Back to INDEX,,,,,,,,
,,,,,,,,
,,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Other occupations,Total
,Agriculture and environmental studies,16.3,57.2,8.5,2.0,11.1,4.9,100.0
,Architecture and built environment,10.8,54.4,19.4,2.2,6.7,6.4,100.0
,Business and management,38.0,46.6,1.3,1.9,10.0,2.1,100.0
,Communications,15.6,54.3,3.5,5.3,14.2,7.1,100.0
,Computing and information systems,15.4,65.7,5.3,3.0,7.2,3.3,100.0
,Creative arts,11.4,62.3,2.4,7.2,10.2,6.6,100.0
,Dentistry,2.4,86.7,0.0,9.6,1.2,0.0,100.0
,Engineering,12.5,69.6,8.9,1.9,3.6,3.4,100.0
,Health services and support,8.2,71.1,1.5,9.6,7.4,2.2,100.0
,"Humanities, culture and social sciences",14.9,56.5,1.6,10.2,13.4,3.4,100.0
,Law and paralegal studies,9.3,64.7,0.3,2.0,21.7,2.1,100.0
,Medicine,1.2,93.9,0.9,1.5,2.1,0.4,100.0
,Nursing,1.3,95.8,0.2,1.6,0.8,0.2,100.0
,Pharmacy,0.6,92.9,0.6,0.0,3.2,2.6,100.0
,Psychology,9.6,70.4,1.1,8.8,7.6,2.5,100.0
,Rehabilitation,1.1,96.1,0.0,1.4,1.1,0.4,100.0
,Science and mathematics,4.7,72.4,7.2,3.2,8.1,4.4,100.0
,Social work,7.2,71.7,0.4,13.2,5.9,1.6,100.0
,Teacher education,8.6,83.4,0.3,4.3,2.6,0.8,100.0
,"Tourism, hospitality, personal services, sport and recreation",,,,,,,
,Veterinary science,1.2,94.2,1.2,1.2,2.3,0.0,100.0
,Total,13.7,70.5,1.7,4.7,7.4,2.0,100.0
,,,,,,,,
Column variables:,,,,,,,,
ANZSCO,,,,,,,,
GENEMP,,,,,,,,
YEAR,,,,,,,,
,,,,,,,,
Column filters:,,,,,,,,
GENEMP = 1,,,,,,,,
"Data for all columns is filtered to: ANALYSIS = (1:2), Postgraduate coursework: LEVEL = 2, e942 = 0",,,,,,,,
,,,,,,,,
Row variables:,,,,,,,,
AREA,,,,,,,,
,,,,,,,,
Row notes:,,,,,,,,
"Where a student completes a second course in a double degree in a different study area, the outcomes are included in both study areas.",,,,,,,,
