"Occupation level, overall employed, 2024, among postgraduate research students from all provider types by broad field of education",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Back to INDEX,,,,,,,,
,,,,,,,,
,,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Other occupations,Total
,"Agriculture, environmental & related studies",1.1,76.4,4.5,1.1,12.4,4.5,100.0
,Architecture & building,6.7,83.3,3.3,0.0,6.7,0.0,100.0
,Creative arts,9.2,75.9,3.4,1.1,6.9,3.4,100.0
,Education,16.6,76.9,0.0,2.5,4.0,0.0,100.0
,Engineering & related technologies,4.5,89.0,1.5,0.0,3.0,1.9,100.0
,"Food, hospitality & personal services",,,,,,,
,Health,7.3,83.6,1.5,0.6,6.5,0.5,100.0
,Information technology,8.7,88.4,0.0,0.0,1.4,1.4,100.0
,Management & commerce,25.0,71.4,0.0,0.0,3.6,0.0,100.0
,Mixed field programmes,,,,,,,
,Natural & physical sciences,3.6,83.9,4.7,0.6,6.1,1.1,100.0
,Society & culture,7.3,80.4,0.5,2.4,8.0,1.4,100.0
,Total,7.6,81.8,2.0,1.1,6.3,1.2,100.0
,,,,,,,,
Column variables:,,,,,,,,
ANZSCO,,,,,,,,
GENEMP,,,,,,,,
YEAR,,,,,,,,
,,,,,,,,
Column filters:,,,,,,,,
GENEMP = 1,,,,,,,,
"Data for all columns is filtered to: ANALYS12 = (1:2), Postgraduate research: LEVEL = 3, e942 = 0",,,,,,,,
,,,,,,,,
Row variables:,,,,,,,,
BROADFOE,,,,,,,,
ANALYS12,,,,,,,,
,,,,,,,,
Row notes:,,,,,,,,
"Where a graduate continues to combined degrees across two study areas, their outcomes are included in both study areas. ‘All study areas’ figures count each graduate once only (ANALYS12 =1).",,,,,,,,
