"Occupation level, overall employed, 2024, among undergraduates from all provider types by broad field of education",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Back to INDEX,,,,,,,,
,,,,,,,,
,,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Other occupations,Total
,"Agriculture, environmental & related studies",9.2,41.6,9.1,9.9,11.2,18.9,100.0
,Architecture & building,11.0,33.6,19.1,6.6,14.9,14.8,100.0
,Creative arts,6.4,38.2,5.5,13.2,13.5,23.2,100.0
,Education,3.4,76.9,0.8,13.0,2.6,3.3,100.0
,Engineering & related technologies,3.9,75.6,7.0,2.7,3.0,7.8,100.0
,"Food, hospitality & personal services",,,,,,,
,Health,2.4,68.7,2.1,16.8,4.5,5.5,100.0
,Information technology,4.1,65.0,7.3,4.3,6.5,12.8,100.0
,Management & commerce,10.9,46.9,2.1,6.6,21.3,12.2,100.0
,Mixed field programmes,5.1,66.7,15.4,7.7,5.1,0.0,100.0
,Natural & physical sciences,3.9,39.8,11.7,13.0,13.1,18.5,100.0
,Society & culture,6.8,36.5,2.0,19.3,23.0,12.5,100.0
,Total,5.7,52.0,4.3,13.9,12.5,11.6,100.0
,,,,,,,,
Column variables:,,,,,,,,
ANZSCO,,,,,,,,
GENEMP,,,,,,,,
YEAR,,,,,,,,
,,,,,,,,
Column filters:,,,,,,,,
GENEMP = 1,,,,,,,,
"Data for all columns is filtered to: ANALYS12 = (1:2), Undergraduate: LEVEL = 1, e942 = 0",,,,,,,,
,,,,,,,,
Row variables:,,,,,,,,
BROADFOE,,,,,,,,
ANALYS12,,,,,,,,
,,,,,,,,
Row notes:,,,,,,,,
"Where a graduate continues to combined degrees across two study areas, their outcomes are included in both study areas. ‘All study areas’ figures count each graduate once only (ANALYS12 =1).",,,,,,,,
