"Occupation level, overall employed, 2024, among undergraduates from universities by study area",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Back to INDEX,,,,,,,,
,,,,,,,,
,,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Other occupations,Total
,Agriculture and environmental studies,8.2,42.9,9.3,10.5,11.6,17.5,100.0
,Architecture and built environment,10.8,34.0,19.0,6.6,15.1,14.5,100.0
,Business and management,10.5,48.1,2.1,6.3,21.4,11.6,100.0
,Communications,8.2,38.4,3.8,10.2,18.4,20.9,100.0
,Computing and information systems,4.2,65.5,7.2,4.0,6.4,12.6,100.0
,Creative arts,5.4,40.6,6.3,14.8,9.5,23.5,100.0
,Dentistry,0.0,39.5,0.0,57.2,1.3,2.0,100.0
,Engineering,3.8,76.3,6.4,2.7,3.1,7.8,100.0
,Health services and support,4.8,41.6,3.2,29.3,9.9,11.3,100.0
,"Humanities, culture and social sciences",6.5,34.8,2.5,16.8,22.8,16.6,100.0
,Law and paralegal studies,6.7,31.0,0.9,9.5,45.3,6.6,100.0
,Medicine,3.2,59.8,4.8,18.6,6.6,7.0,100.0
,Nursing,1.1,85.4,0.4,10.0,1.4,1.7,100.0
,Pharmacy,0.8,90.2,2.6,0.4,1.5,4.5,100.0
,Psychology,7.6,32.4,2.0,26.3,18.0,13.8,100.0
,Rehabilitation,0.5,92.7,0.1,3.8,0.6,2.3,100.0
,Science and mathematics,3.9,39.9,11.7,13.0,13.1,18.3,100.0
,Social work,3.3,57.9,0.7,26.7,7.4,3.9,100.0
,Teacher education,3.3,77.0,0.8,12.9,2.7,3.4,100.0
,"Tourism, hospitality, personal services, sport and recreation",8.5,26.9,6.2,33.8,13.8,10.8,100.0
,Veterinary science,2.3,58.7,25.8,2.3,1.9,8.9,100.0
,Total,5.6,52.5,4.2,13.7,12.6,11.4,100.0
,,,,,,,,
Column variables:,,,,,,,,
ANZSCO,,,,,,,,
GENEMP,,,,,,,,
YEAR,,,,,,,,
,,,,,,,,
Column filters:,,,,,,,,
GENEMP = 1,,,,,,,,
"Data for all columns is filtered to: ANALYSIS = (1:2), Undergraduate: LEVEL = 1, University: HEPTYPE = 1, e942 = 0",,,,,,,,
,,,,,,,,
Row variables:,,,,,,,,
AREA,,,,,,,,
,,,,,,,,
Row notes:,,,,,,,,
"Where a student completes a second course in a double degree in a different study area, the outcomes are included in both study areas.",,,,,,,,
