"Occupation level among postgraduate coursework students and all provider types by employment outcomes (FTE, OE) by gender, 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Back to INDEX,,,,,,,
,,,,,,,
,,Full-time employment – Male,Full-time employment – Female,Full-time employment – Total,Overall employment – Male,Overall employment – Female,Overall employment – Total
,Managers,20.3,14.1,16.3,18.5,11.6,13.7
,Professionals,64.4,73.0,70.0,64.3,73.3,70.5
,Technicians and Trades Workers,2.9,1.1,1.7,2.9,1.2,1.7
,Community and Personal Service Workers,4.0,3.1,3.4,4.9,4.5,4.7
,Clerical and Administrative Workers,6.6,8.0,7.5,6.6,7.8,7.4
,Other occupations,1.8,0.7,1.1,2.8,1.6,2.0
,All,100.0,100.0,100.0,100.0,100.0,100.0
,,,,,,,
Column variables:,,,,,,,
E315,,,,,,,
FULLEMP,,,,,,,
GENEMP,,,,,,,
YEAR,,,,,,,
,,,,,,,
Column filters:,,,,,,,
FT: FULLEMP = 1,,,,,,,
OE: GENEMP = 1,,,,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Postgraduate coursework: LEVEL = 2, e942 = 0",,,,,,,
,,,,,,,
Row variables:,,,,,,,
ANZSCO,,,,,,,
