"Occupation level among postgraduate research students and all provider types by employment outcomes (FTE, OE) by gender, 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Back to INDEX,,,,,,,
,,,,,,,
,,Full-time employment – Male,Full-time employment – Female,Full-time employment – Total,Overall employment – Male,Overall employment – Female,Overall employment – Total
,Managers,9.0,8.4,8.7,8.2,7.2,7.6
,Professionals,83.6,80.4,81.8,84.0,80.3,81.8
,Technicians and Trades Workers,2.1,1.7,1.9,2.2,1.9,2.0
,Community and Personal Service Workers,0.4,0.7,0.6,0.6,1.5,1.1
,Clerical and Administrative Workers,3.9,8.2,6.3,3.5,8.1,6.3
,Other occupations,1.0,0.6,0.8,1.5,1.0,1.2
,All,100.0,100.0,100.0,100.0,100.0,100.0
,,,,,,,
Column variables:,,,,,,,
E315,,,,,,,
FULLEMP,,,,,,,
GENEMP,,,,,,,
YEAR,,,,,,,
,,,,,,,
Column filters:,,,,,,,
FT: FULLEMP = 1,,,,,,,
OE: GENEMP = 1,,,,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Postgraduate research: LEVEL = 3, e942 = 0",,,,,,,
,,,,,,,
Row variables:,,,,,,,
ANZSCO,,,,,,,
