"Occupation level among undergraduates and non-university higher education institutes (NUHEIs) by employment outcomes (FTE, OE) by gender, 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Back to INDEX,,,,,,,
,,,,,,,
,,Full-time employment – Male,Full-time employment – Female,Full-time employment – Total,Overall employment – Male,Overall employment – Female,Overall employment – Total
,Managers,12.9,11.1,11.7,8.2,6.9,7.3
,Professionals,40.2,42.4,41.7,32.9,40.2,37.5
,Technicians and Trades Workers,14.1,3.9,7.8,13.5,3.2,6.7
,Community and Personal Service Workers,10.0,16.5,13.9,17.9,20.6,19.6
,Clerical and Administrative Workers,6.6,14.7,11.6,6.2,11.6,9.7
,Other occupations,16.2,11.6,13.3,21.4,17.4,19.1
,All,100.0,100.0,100.0,100.0,100.0,100.0
,,,,,,,
Column variables:,,,,,,,
E315,,,,,,,
FULLEMP,,,,,,,
GENEMP,,,,,,,
YEAR,,,,,,,
,,,,,,,
Column filters:,,,,,,,
FT: FULLEMP = 1,,,,,,,
OE: GENEMP = 1,,,,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Undergraduate: LEVEL = 1, NUHEI: HEPTYPE = 2, e942 = 0",,,,,,,
,,,,,,,
Row variables:,,,,,,,
ANZSCO,,,,,,,
