Part-time employment as a proportion of all employed graduates by gender 2024 among undergraduates from all provider types by study area,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Back to INDEX,,,,,,,,,,
,,,,,,,,,,
,,Overall employed part-time – Male,Overall employed part-time – Female,Overall employed part-time – Total,Seeking more hours – Male,Seeking more hours – Female,Seeking more hours Total,Not seeking more hours – Male,Not seeking more hours Female,Not seeking more hours – Total
,Agriculture and environmental studies,20.0,35.4,30.8,9.4,15.1,13.4,8.3,15.6,13.5
,Architecture and built environment,23.5,40.4,32.6,11.9,22.0,17.3,9.2,12.7,11.1
,Business and management,21.7,24.7,23.4,13.9,12.7,13.2,4.9,8.7,7.1
,Communications,49.6,42.8,45.1,30.4,25.5,27.0,11.7,12.1,12.1
,Computing and information systems,27.1,23.3,26.2,17.0,13.7,16.1,5.2,5.7,5.4
,Creative arts,62.4,60.0,61.1,36.5,32.7,34.3,15.3,17.1,16.5
,Dentistry,27.9,36.1,34.0,11.6,15.1,14.2,16.3,16.8,16.7
,Engineering,13.6,18.2,14.7,7.2,7.8,7.3,4.7,8.1,5.5
,Health services and support,40.2,43.1,42.4,23.6,21.7,22.1,10.9,16.7,15.4
,"Humanities, culture and social sciences",43.3,47.3,46.4,21.4,22.2,22.0,14.1,18.8,17.6
,Law and paralegal studies,17.9,29.2,25.6,10.1,12.6,11.9,5.6,13.0,10.5
,Medicine,13.8,29.9,24.7,2.8,10.2,7.8,9.0,15.8,13.6
,Nursing,35.2,46.5,45.3,12.6,12.6,12.6,17.0,28.3,27.1
,Pharmacy,10.8,10.5,10.6,4.1,4.0,4.0,5.4,6.0,5.8
,Psychology,53.3,56.3,55.7,22.3,25.2,24.7,23.0,25.3,24.8
,Rehabilitation,13.0,12.1,12.2,6.2,3.2,3.8,5.0,7.8,7.3
,Science and mathematics,46.5,52.5,50.4,22.5,24.6,23.8,18.1,20.2,19.5
,Social work,24.1,33.4,32.2,13.5,15.2,15.0,7.5,14.5,13.5
,Teacher education,25.5,34.3,32.8,11.0,12.0,11.8,10.2,18.0,16.7
,"Tourism, hospitality, personal services, sport and recreation",37.8,42.9,40.8,28.4,24.7,27.0,5.4,13.0,9.2
,Veterinary science,22.6,25.1,24.8,9.7,9.8,9.8,9.7,11.5,11.2
,Total,31.8,41.4,38.4,16.9,18.0,17.7,10.1,18.1,15.6
,,,,,,,,,,
Column variables:,,,,,,,,,,
Gender: E315,,,,,,,,,,
GENEMP,,,,,,,,,,
LFCLASS,,,,,,,,,,
YEAR,,,,,,,,,,
,,,,,,,,,,
Column filters:,,,,,,,,,,
GENEMP = 1,,,,,,,,,,
"PT: LFCLASS = (2,3,4)",,,,,,,,,,
SH: LFCLASS = 3,,,,,,,,,,
NSH: LFCLASS = 2,,,,,,,,,,
,,,,,,,,,,
Column notes:,,,,,,,,,,
Total part time includes graduates employed part-time where preference for additional hours is unknown.,,,,,,,,,,
"Data for all columns is filtered to: ANALYSIS = (1:2), Undergraduate: LEVEL = 1, e942 = 0",,,,,,,,,,
,,,,,,,,,,
Row variables:,,,,,,,,,,
AREA,,,,,,,,,,
,,,,,,,,,,
Row notes:,,,,,,,,,,
"Where a student completes a second course in a double degree in a different study area, the outcomes are included in both study areas.",,,,,,,,,,
