"Proportion of employed seeking or not seeking more hours among undergraduates and all provider types by gender, 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Back to INDEX,,,,
,,,,
,,Male,Female,Total part-time employed
,Seeking more hours,16.9,18.0,17.7
,Not seeking more hours,10.1,18.1,15.6
,,,,
Column variables:,,,,
Gender: E315,,,,
YEAR,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Undergraduate: LEVEL = 1, e942 = 0",,,,
,,,,
Row variables:,,,,
GENEMP,,,,
LFCLASS,,,,
,,,,
Row filters:,,,,
GENEMP = 1,,,,
