"Importance of qualification among undergraduates and all provider types by employment outcomes (FTE, OE) 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3
Back to INDEX,,,
,,,
,,Full-time employment,Overall employment
,Very important,37.6,32.4
,Important,16.6,14.0
,Fairly important,17.3,15.6
,Not that important,15.0,16.1
,Not at all important,13.6,21.8
,All,100.0,100.0
,,,
Column variables:,,,
FULLEMP,,,
GENEMP,,,
YEAR,,,
,,,
Column filters:,,,
FT: FULLEMP = 1,,,
OE: GENEMP = 1,,,
"Data for all columns is filtered to: ANALYSIS = 1, Undergraduate: LEVEL = 1, e942 = 0",,,
,,,
Row variables:,,,
QUALIMP,,,
