"Response rates Nov 2023, Feb and May 2024 collections among all course levels from universities by institution",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Back to INDEX,,,,,
,,,,,
,,Nov '2023,Feb '2024,May '2024,Total
,Australian Catholic University,41.6,38.9,35.7,36.9
,Avondale University,,,44.8,45.0
,Bond University,32.7,30.8,35.0,33.3
,Central Queensland University,45.1,44.8,47.9,46.8
,Charles Darwin University,43.8,48.7,53.4,49.4
,Charles Sturt University,41.0,19.2,50.8,46.3
,Curtin University,34.2,,30.7,31.8
,Deakin University,42.9,66.7,42.7,42.9
,Edith Cowan University,43.2,42.4,42.6,42.8
,Federation University Australia,37.2,42.1,41.9,40.7
,Flinders University,48.5,45.8,44.8,45.7
,Griffith University,36.4,,38.5,37.7
,James Cook University,48.6,49.1,43.2,45.2
,La Trobe University,34.8,37.1,38.5,37.5
,Macquarie University,32.2,39.6,39.9,37.2
,Monash University,37.2,46.9,39.3,39.1
,Murdoch University,37.4,38.1,44.8,42.2
,Queensland University of Technology,41.0,45.8,43.2,42.6
,RMIT University,37.9,50.3,39.5,39.6
,Southern Cross University,35.2,37.8,40.5,38.5
,Swinburne University of Technology,37.2,,39.4,38.6
,The Australian National University,32.3,35.7,35.6,34.2
,The University of Adelaide,39.8,51.1,42.5,42.1
,The University of Melbourne,43.0,46.8,41.3,42.1
,The University of Notre Dame Australia,36.7,35.2,38.7,38.0
,The University of Queensland,29.4,61.7,35.0,33.3
,The University of South Australia,35.6,,40.2,38.9
,The University of Sydney,27.4,31.1,34.5,31.7
,The University of Western Australia,33.4,50.6,34.9,34.9
,Torrens University,48.5,44.9,53.4,49.4
,University of Canberra,36.1,,42.9,40.8
,University of Divinity,61.0,70.4,49.4,53.6
,University of New England,49.6,55.2,56.3,53.6
,University of New South Wales,31.3,24.9,30.2,29.0
,University of Newcastle,33.4,,32.4,32.6
,University of Southern Queensland,51.3,,48.7,49.4
,University of Tasmania,46.1,51.4,45.1,45.5
,University of Technology Sydney,30.4,38.5,31.9,31.6
,University of the Sunshine Coast,49.2,44.4,41.6,44.0
,University of Wollongong,36.6,,35.5,35.8
,Victoria University,42.1,51.0,38.8,41.7
,Western Sydney University,31.8,31.6,38.1,35.2
,All universities,37.2,39.5,39.3,38.7
,,,,,
Column variables:,,,,,
NATCOMPLETE,,,,,
NATINSCOPE,,,,,
PERIOD,,,,,
YEAR,,,,,
,,,,,
Column filters:,,,,,
NATINSCOPE = 1,,,,,
,,,,,
Column notes:,,,,,
This table is constructed from the GOS operational file.,,,,,
University: HEPTYPE = 1,,,,,
,,,,,
Row variables:,,,,,
E306,,,,,
