Reason for not working more hours for part-time employed among postgraduate coursework students and all provider types by preference for more hours and gender 2024,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Back to INDEX,,,,,,,
,,,,,,,
,,Seeking more hours – Male,Seeking more hours – Female,Seeking more hours – Total,Not seeking more hours – Male,Not seeking more hours – Female,Not seeking more hours – Total
Personal factors,     I'm satisfied with the number of hours I work,0.0,0.0,0.0,46.4,42.5,42.9
Personal factors,     Studying,10.1,8.5,8.9,19.2,9.6,10.8
Personal factors,     Short-term illness or injury,0.0,0.4,0.3,0.0,0.0,0.0
Personal factors,     Long-term health condition or disability,0.2,0.5,0.4,1.8,3.0,2.9
Personal factors,     Caring for children,6.4,14.9,12.7,11.0,32.4,29.7
Personal factors,     Caring for family member with a health condition or disability,0.0,0.5,0.3,0.9,2.1,1.9
Personal factors,     Pursuing other interests / commitments in spare time,0.0,0.0,0.0,11.5,5.5,6.3
Personal factors,Sub total – personal factors,16.6,24.8,22.7,90.7,95.1,94.6
Labour market factors,     No suitable jobs in my area of expertise,13.3,11.9,12.2,1.5,0.4,0.6
Labour market factors,     No suitable jobs in my local area,5.2,4.9,5.0,0.9,0.7,0.7
Labour market factors,     Considered to be too young by employers,1.4,0.5,0.7,0.0,0.0,0.0
Labour market factors,     Considered too old by employers,3.7,1.1,1.7,0.4,0.2,0.3
Labour market factors,     No jobs with a suitable number of hours,6.0,4.8,5.1,0.4,0.1,0.2
Labour market factors,     No more hours available in current position,39.5,38.8,39.1,3.5,1.6,1.8
Labour market factors,Sub total – labour market factors,69.1,62.0,63.8,6.8,3.0,3.5
Other factors,     Due to VISA restrictions / waiting for permanent residency,0.0,0.1,0.0,0.0,0.0,0.0
Other factors,     Work has been reduced/shutdown due to COVID-19,0.2,0.1,0.1,0.0,0.0,0.0
Other factors,     Waiting for accreditation/registration,1.7,2.1,2.0,0.4,0.1,0.2
Other factors,     Other (Please specify),5.6,4.1,4.4,0.7,0.3,0.4
Other factors,     Due to other commitments outside of main job,1.0,0.8,0.8,0.0,0.0,0.0
Other factors,     Other problems finding work,1.7,1.8,1.8,0.0,0.0,0.0
Other factors,     Developing own business / self employed,0.4,1.0,0.8,0.0,0.0,0.0
Other factors,     Financial reasons,3.7,3.4,3.4,0.0,0.0,0.0
Other factors,     Lifestyle choice / work-life balance,0.0,0.0,0.0,0.2,0.6,0.5
Other factors,     Due to contract restrictions,0.0,0.0,0.0,0.4,0.4,0.4
Other factors,     Waiting to start full time work,0.0,0.0,0.0,0.2,0.3,0.3
Other factors,     Starting own business / self employed,0.0,0.0,0.0,0.4,0.1,0.1
Other factors,Sub total –  other factors ,14.3,13.3,13.5,2.4,1.8,1.9
,Total,100.0,100.0,100.0,100.0,100.0,100.0
,,,,,,,
Column variables:,,,,,,,
E315,,,,,,,
LFCLASS,,,,,,,
PARTEMP,,,,,,,
YEAR,,,,,,,
,,,,,,,
Column filters:,,,,,,,
PARTEMP = 1,,,,,,,
SH: LFCLASS = 3,,,,,,,
NSH: LFCLASS = 2,,,,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Postgraduate coursework: LEVEL = 2, e942 = 0",,,,,,,
,,,,,,,
Row variables:,,,,,,,
RSMORE,,,,,,,
RSNOMORE,,,,,,,
,,,,,,,
Row notes:,,,,,,,
"""No more hours available in current position"" new category and explicit option for RSNOMORE.",,,,,,,
"""I'm satisfied with the number of hours I work"" now explicit option for respondents to choose from in RSNOMORE.",,,,,,,
