Reason for not working more hours for part-time employed among undergraduates and all provider types by preference for more hours and gender 2024,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Back to INDEX,,,,,,,
,,,,,,,
,,Seeking more hours – Male,Seeking more hours – Female,Seeking more hours – Total,Not seeking more hours – Male,Not seeking more hours – Female,Not seeking more hours – Total
Personal factors,     I'm satisfied with the number of hours I work,0.0,0.0,0.0,27.0,37.0,34.9
Personal factors,     Studying,17.4,18.1,17.9,50.8,32.4,36.3
Personal factors,     Short-term illness or injury,0.2,0.3,0.3,0.0,0.1,0.0
Personal factors,     Long-term health condition or disability,0.1,0.4,0.3,1.2,2.2,2.1
Personal factors,     Caring for children,1.1,5.0,3.8,1.8,13.1,10.7
Personal factors,     Caring for family member with a health condition or disability,0.0,0.3,0.2,0.2,1.5,1.2
Personal factors,     Pursuing other interests / commitments in spare time,0.0,0.0,0.0,11.9,7.5,8.4
Personal factors,Sub total – personal factors,18.9,24.1,22.5,93.0,93.8,93.6
Labour market factors,     No suitable jobs in my area of expertise,12.8,9.5,10.5,1.6,0.8,0.9
Labour market factors,     No suitable jobs in my local area,7.1,5.1,5.7,0.5,0.3,0.4
Labour market factors,     Considered to be too young by employers,2.0,1.0,1.3,0.0,0.0,0.0
Labour market factors,     Considered too old by employers,0.9,0.7,0.8,0.1,0.2,0.1
Labour market factors,     No jobs with a suitable number of hours,5.2,4.6,4.8,0.4,0.2,0.3
Labour market factors,     No more hours available in current position,40.6,45.1,43.8,1.8,1.8,1.8
Labour market factors,Sub total – labour market factors,68.6,66.0,66.9,4.4,3.3,3.6
Other factors,     Due to VISA restrictions / waiting for permanent residency,0.0,0.0,0.0,0.0,0.0,0.0
Other factors,     Work has been reduced/shutdown due to COVID-19,0.0,0.0,0.0,0.0,0.0,0.0
Other factors,     Waiting for accreditation/registration,1.4,1.1,1.2,0.2,0.3,0.3
Other factors,     Other (Please specify),2.5,2.7,2.6,0.5,0.4,0.4
Other factors,     Due to other commitments outside of main job,1.2,0.9,1.0,0.0,0.0,0.0
Other factors,     Other problems finding work,2.2,1.3,1.6,0.0,0.0,0.0
Other factors,     Developing own business / self employed,0.6,0.4,0.5,0.0,0.0,0.0
Other factors,     Financial reasons,4.5,3.4,3.7,0.0,0.0,0.0
Other factors,     Lifestyle choice / work-life balance,0.0,0.0,0.0,0.2,0.4,0.3
Other factors,     Due to contract restrictions,0.0,0.0,0.0,1.1,1.4,1.3
Other factors,     Waiting to start full time work,0.0,0.0,0.0,0.6,0.3,0.3
Other factors,     Starting own business / self employed,0.0,0.0,0.0,0.0,0.2,0.1
Other factors,Sub total –  other factors ,12.4,9.9,10.7,2.6,2.9,2.8
,Total,100.0,100.0,100.0,100.0,100.0,100.0
,,,,,,,
Column variables:,,,,,,,
E315,,,,,,,
LFCLASS,,,,,,,
PARTEMP,,,,,,,
YEAR,,,,,,,
,,,,,,,
Column filters:,,,,,,,
PARTEMP = 1,,,,,,,
SH: LFCLASS = 3,,,,,,,
NSH: LFCLASS = 2,,,,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Undergraduate: LEVEL = 1, e942 = 0",,,,,,,
,,,,,,,
Row variables:,,,,,,,
RSMORE,,,,,,,
RSNOMORE,,,,,,,
,,,,,,,
Row notes:,,,,,,,
"""No more hours available in current position"" new category and explicit option for RSNOMORE.",,,,,,,
"""I'm satisfied with the number of hours I work"" now explicit option for respondents to choose from in RSNOMORE.",,,,,,,
