"Reason working in a job that does not fully use skills and educations among postgraduate research students and all provider types by employment outcomes (FTE, OE) 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3
Back to INDEX,,,
,,,
,,Full-time employment,Overall employment
Personal factors,     Studying,1.1,1.8
Personal factors,     I'm satisfied with my current job,20.0,18.3
Personal factors,     Do not have permanent residency,0.0,0.1
Personal factors,     Changing jobs/careers,8.2,7.6
Personal factors,     For financial reasons,8.2,6.2
Personal factors,     Travelling / gap year,0.2,0.2
Personal factors,     Caring for children or family member,3.9,4.2
Personal factors,     Short-term illness or injury,0.2,0.1
Personal factors,     Long-term health condition or disability,0.2,0.3
Personal factors,Sub total,41.9,38.8
Labour market factors,     No suitable jobs in my area of expertise,19.1,21.5
Labour market factors,     No suitable jobs in my local area,9.3,10.4
Labour market factors,     Considered to be too young by employers,1.1,0.9
Labour market factors,     Considered to be too old by employers,1.4,1.7
Labour market factors,     Not enough work experience,7.1,7.1
Labour market factors,     No jobs with a suitable number of hours,1.9,2.5
Labour market factors,     Cannot find a job,1.1,1.2
Labour market factors,     I had to change jobs due to COVID-19,0.6,0.4
Labour market factors,     Entry level job/career stepping stone,11.2,10.1
Labour market factors,Sub total,52.7,55.8
Other,     Did not mention that I have more skills or education than are needed to do my current job,0.0,0.0
Other,     Not sure what I want to do / still figuring it out,0.2,0.1
Other,     Already working in this job prior to obtaining skills or education,0.2,0.1
Other,     Working in own / family business,0.8,0.8
Other,     Haven't started looking for work yet/only just finished studying,0.0,0.0
Other,     My job is temporary/casual,0.0,0.1
Other,     Other (Please specify),2.2,2.3
Other,     I have skills that are not required in my current job,1.6,1.3
Other,     Waiting for accreditation/registration,0.6,0.7
Other,Sub total,5.4,5.4
,Total,100.0,100.0
,Extent to which skills and education are not fully utilised,29.7,31.5
,,,
Column variables:,,,
FULLEMP,,,
GENEMP,,,
YEAR,,,
,,,
Column filters:,,,
FT: FULLEMP = 1,,,
OE: GENEMP = 1,,,
"Data for all columns is filtered to: ANALYSIS = 1, Postgraduate research: LEVEL = 3, e942 = 0",,,
,,,
Row variables:,,,
RSOVRQ,,,
SPOQSC,,,
