"Occupation does not fully use skills and education, and main reason for working in a job that doesn’t fully use skills and education, 2024 among undergraduates from all provider types by study area",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Back to INDEX,,,,,
,,,,,
,,Extent to which skills and education not fully used - Employed full-time,Extent to which skills and education not fully used - Overall employed,Main reason - no suitable jobs in my area of expertise - Employed full-time,Main reason - no suitable jobs in my area of expertise - Overall employed
,Agriculture and environmental studies,30.1,40.6,6.6,7.4
,Architecture and built environment,22.0,35.3,6.5,10.7
,Business and management,32.1,40.8,4.3,6.5
,Communications,38.9,52.9,9.1,13.3
,Computing and information systems,27.9,39.1,9.2,11.1
,Creative arts,47.6,56.3,15.7,18.0
,Dentistry,4.2,11.1,,
,Engineering,23.1,29.3,4.1,6.3
,Health services and support,29.8,42.4,13.3,14.4
,"Humanities, culture and social sciences",38.7,53.2,9.6,10.7
,Law and paralegal studies,34.0,40.8,4.1,4.9
,Medicine,16.5,29.9,0.0,5.7
,Nursing,9.9,11.7,6.0,8.2
,Pharmacy,6.9,9.1,,
,Psychology,50.4,62.1,8.0,7.2
,Rehabilitation,4.6,7.8,0.0,0.0
,Science and mathematics,40.3,57.7,10.9,10.5
,Social work,22.4,31.4,2.8,5.1
,Teacher education,11.5,16.1,3.9,3.2
,"Tourism, hospitality, personal services, sport and recreation",46.9,53.7,7.9,11.1
,Veterinary science,11.8,25.4,,13.7
,Total,28.3,39.3,7.9,9.7
,,,,,
Column variables:,,,,,
FULLEMP,,,,,
GENEMP,,,,,
RSOVRQ,,,,,
SPOQSCL,,,,,
YEAR,,,,,
,,,,,
Column filters:,,,,,
FULLEMP = 1,,,,,
GENEMP = 1,,,,,
"RSOVRQ != (NA, 995, 999)",,,,,
"SPOQSCL != (NA, 995, 999)",,,,,
"Data for all columns is filtered to: ANALYSIS = (1:2), Undergraduate: LEVEL = 1, e942 = 0",,,,,
,,,,,
Row variables:,,,,,
AREA,,,,,
,,,,,
Row notes:,,,,,
"Where a student completes a second course in a double degree in a different study area, the outcomes are included in both study areas.",,,,,
