"Median annual full-time salaries ($) by gender, 2023 and 2024 among postgraduate coursework students from all provider types by 45 study areas",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Back to INDEX,,,,,,,
,,,,,,,
,,Male 2023,Male 2024,Female 2023,Female 2024,Total 2023,Total 2024
Agriculture and environmental studies,Agriculture and forestry,,,"77,000","81,000","80,000","81,500"
Agriculture and environmental studies,Architecture and urban environments,"75,000","81,500","72,000","78,500","73,000","79,700"
Architecture and built environment,Building and construction,"105,000","121,000",,,"100,000","117,000"
Architecture and built environment,Environmental studies,"80,000","100,000","88,000","95,000","85,600","96,600"
Business and management,Accounting,"81,600","90,000","90,000","86,100","85,000","89,500"
Business and management,Banking and finance,"110,000","120,000","100,000","94,000","107,000","107,000"
Business and management,Business management,"136,400","145,000","120,000","126,100","125,200","132,000"
Business and management,Economics,"120,000","117,000",,"124,000","106,000","120,000"
Business and management,Sales and marketing,"89,300","98,900","87,300","90,000","88,400","91,200"
Business and management,Management and commerce - other,"100,000","110,000","89,700","101,900","95,000","110,000"
Communications,"Communication, media and journalism","72,500","70,000","71,400","80,000","72,000","78,000"
Computing and information systems,Computing and information systems,"110,000","115,000","90,100","100,000","105,000","110,000"
Creative arts,Art and design,,,"78,300","84,500","78,400","87,600"
Creative arts,Music and performing arts,,,,,,
Dentistry,Dentistry,,,,,"127,400","130,000"
Engineering,Engineering - aerospace,,,,,"108,500","103,300"
Engineering,Engineering - civil,"84,700","89,000",,,"87,100","90,500"
Engineering,Engineering - electrical and electronic,"100,000","106,200",,,"99,200","104,400"
Engineering,Engineering - mechanical,"90,000","113,500",,,"91,000","120,000"
Engineering,Engineering - process and resources,"137,200","162,500",,,"121,000","140,500"
Engineering,Engineering - other,"126,000","118,000","98,100","94,000","120,000","112,000"
Health services and support,Health services and support,"103,100","110,300","90,000","90,000","95,000","96,000"
Health services and support,Public health,"110,000","125,200","102,000","105,000","104,400","108,000"
"Humanities, culture and social sciences","Humanities, history and geography","87,800","99,100","83,500","88,900","85,000","90,000"
"Humanities, culture and social sciences",Language and literature,,,"75,000","98,100","85,000","96,000"
"Humanities, culture and social sciences",Political science,"102,200","120,000","94,500","116,200","96,500","117,400"
Law and paralegal studies,Justice studies and policing,"111,300","114,000","95,500","105,000","104,400","110,000"
Law and paralegal studies,Law,"89,100","95,000","82,500","85,000","84,900","90,000"
Medicine,Medicine,"85,200","90,000","87,700","90,000","85,900","90,000"
Medicine,Nursing,"100,200","102,900","95,000","99,100","95,800","99,900"
Pharmacy,Pharmacy,"92,000",,"82,300","87,000","83,500","87,000"
Psychology,Psychology,"101,100","105,600","92,000","96,200","94,000","97,700"
Rehabilitation,Occupational therapy,,,"74,000","77,000","72,000","76,800"
Rehabilitation,Physiotherapy,"78,800","78,800","79,100","84,200","79,100","83,500"
Science and mathematics,Biological sciences,,,"74,400","84,600","74,400","85,000"
Science and mathematics,Mathematics,"120,200","114,300","96,000","111,000","110,000","112,600"
Science and mathematics,Medical sciences and technology,"94,800",,"79,200","85,600","86,500","89,900"
Science and mathematics,Natural and physical sciences,"110,000","100,000","93,500","94,000","99,500","95,500"
Social work,Social work,"85,000","95,500","83,400","94,000","84,100","94,100"
Teacher education,Teacher education - early childhood,,,"75,000","78,300","73,700","78,300"
Teacher education,Teacher education - primary and secondary,"76,600","82,000","75,700","79,300","76,000","80,800"
Teacher education,Teacher education - other,"110,000","115,000","104,400","110,000","106,000","110,000"
"Tourism, hospitality, personal services, sport and recreation",Sport and recreation,,,,,,
"Tourism, hospitality, personal services, sport and recreation","Tourism, hospitality and personal services",,,,,,
Veterinary science,Veterinary science,,,"76,100","77,200","76,800","76,500"
,Total,"105,000","110,000","92,100","98,000","96,700","100,000"
,Standard deviation,"23,300","23,900","14,300","18,000","15,600","16,000"
,,,,,,,
Column variables:,,,,,,,
FULLEMP,,,,,,,
SALARYA,,,,,,,
TRIMSAL_ALL,,,,,,,
YEAR,,,,,,,
,,,,,,,
Column filters:,,,,,,,
FULLEMP = 1,,,,,,,
TRIMSAL_ALL = 1,,,,,,,
"Data for all columns is filtered to: ANALYS45 = (1:2), Postgraduate coursework: LEVEL = 2, e942 = 0",,,,,,,
,,,,,,,
Row variables:,,,,,,,
AREA45,,,,,,,
,,,,,,,
Row notes:,,,,,,,
"Where a graduate completes combined degrees across two study areas, their outcomes are included in both study areas. ‘All study areas’ figures count each graduate once only.",,,,,,,
