"Median annual full-time salaries ($) by gender, 2023 and 2024 among postgraduate coursework students from all provider types by study area",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Back to INDEX,,,,,,,
,,,,,,,
,,Male 2023,Male 2024,Female 2023,Female 2024,Total 2023,Total 2024
,Agriculture and environmental studies,"80,000","94,500","87,000","93,000","85,000","94,000"
,Architecture and built environment,"80,000","88,500","73,000","80,000","75,000","84,500"
,Business and management,"129,400","130,000","114,800","117,000","120,000","124,000"
,Communications,"72,500","70,000","71,400","80,000","72,000","78,000"
,Computing and information systems,"110,000","115,000","90,100","100,000","105,000","110,000"
,Creative arts,,,"78,300","80,000","78,300","81,000"
,Dentistry,,,,,"127,400","130,000"
,Engineering,"114,700","114,000","98,500","100,000","109,800","111,000"
,Health services and support,"105,100","119,400","98,000","100,000","100,000","103,000"
,"Humanities, culture and social sciences","90,700","104,000","85,300","95,000","88,300","99,000"
,Law and paralegal studies,"90,000","96,000","83,000","86,000","85,000","90,000"
,Medicine,"85,200","90,000","87,700","90,000","85,900","90,000"
,Nursing,"100,200","102,900","95,000","99,100","95,800","99,900"
,Pharmacy,"92,000",,"82,300","87,000","83,500","87,000"
,Psychology,"101,100","105,600","92,000","96,200","94,000","97,700"
,Rehabilitation,"75,300","78,800","75,200","80,000","75,200","79,600"
,Science and mathematics,"109,500","107,000","87,300","94,000","96,000","100,000"
,Social work,"85,000","95,500","83,400","94,000","84,100","94,100"
,Teacher education,"93,100","95,300","91,000","96,000","91,300","96,000"
,"Tourism, hospitality, personal services, sport and recreation",,,,,,
,Veterinary science,,,"76,100","77,200","76,800","76,500"
,Total,"105,000","110,000","92,000","98,000","96,600","100,000"
,Standard deviation,"27,600","26,900","11,500","11,300","14,900","14,100"
,,,,,,,
Column variables:,,,,,,,
FULLEMP,,,,,,,
SALARYA,,,,,,,
TRIMSAL_ALL,,,,,,,
YEAR,,,,,,,
,,,,,,,
Column filters:,,,,,,,
FULLEMP = 1,,,,,,,
TRIMSAL_ALL = 1,,,,,,,
"Data for all columns is filtered to: ANALYSIS = (1:2), Postgraduate coursework: LEVEL = 2, e942 = 0",,,,,,,
,,,,,,,
Row variables:,,,,,,,
AREA,,,,,,,
,,,,,,,
Row notes:,,,,,,,
"Where a student completes a second course in a double degree in a different study area, the outcomes are included in both study areas.",,,,,,,
