"Median annual full-time salaries ($) by gender, 2023 and 2024 among postgraduate coursework students from all provider types by demographic group",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Back to INDEX,,,,,,,
,,,,,,,
,,Male 2023,Male 2024,Female 2023,Female 2024,Total 2023,Total 2024
Gender,Male,"105,000","110,000",,,"105,000","110,000"
Gender,Female,,,"92,000","98,000","92,000","98,000"
Age group,30 years or under,"82,000","87,000","79,700","84,500","80,000","85,000"
Age group,Over 30 years,"120,000","125,000","105,000","110,000","110,000","115,000"
Indigenous,Indigenous,"119,000","119,500","104,600","100,000","107,000","105,000"
Indigenous,Non-Indigenous,"105,000","110,000","92,000","98,000","96,500","100,000"
Home language,English,"105,000","110,000","93,000","98,300","97,200","100,400"
Home language,Language other than English,"91,300","100,000","83,300","88,000","85,400","92,000"
Disability,Disability reported,"90,700","100,000","85,000","90,000","86,000","92,900"
Disability,No disability reported,"105,000","110,000","93,900","99,000","98,000","101,000"
Study mode,Internal/Mixed study mode,"90,000","96,000","83,500","89,000","85,500","90,000"
Study mode,External study mode,"114,100","120,000","99,900","104,000","103,700","108,500"
First in family,First in family,"107,000","111,000","93,900","97,800","98,100","100,200"
First in family,Not first in family,"99,000","104,400","87,800","94,500","90,000","98,000"
Socio-economic status,High*,"105,000","110,000","92,000","99,100","96,000","101,700"
Socio-economic status,Medium*,"105,000","110,000","91,000","97,200","95,000","100,000"
Socio-economic status,Low*,"100,500","108,000","91,800","96,000","95,000","99,100"
Locality,Metro* †,"104,000","110,000","90,000","96,100","95,000","100,000"
Locality,Regional/Remote* †,"107,400","112,000","96,400","100,000","100,000","103,000"
Total,Total,"105,000","110,000","92,000","98,000","96,600","100,000"
,,,,,,,
Column variables:,,,,,,,
FULLEMP,,,,,,,
SALARYA,,,,,,,
TRIMSAL_ALL,,,,,,,
YEAR,,,,,,,
,,,,,,,
Column filters:,,,,,,,
FULLEMP = 1,,,,,,,
TRIMSAL_ALL = 1,,,,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Postgraduate coursework: LEVEL = 2, e942 = 0",,,,,,,
,,,,,,,
Row variables:,,,,,,,
Gender: E315,,,,,,,
Mode of attendance: E329,,,,,,,
Indigenous indicator: E940,,,,,,,
English speaking indicator: E941,,,,,,,
Citizenship indicator: E942,,,,,,,
Disability indicator: E943,,,,,,,
FAMILYED,,,,,,,
FIRST_ASGS_METRO,,,,,,,
FIRST_ASGS_REGIONAL,,,,,,,
FIRST_ASGS_REMOTE,,,,,,,
FIRST_SES_SA1,,,,,,,
,,,,,,,
Row notes:,,,,,,,
30 years or under: e913 > 0 & e913 <= 30,,,,,,,
Over 30 years: e913 > 30,,,,,,,
"Internal/Mixed study mode: E329  = (1,3)",,,,,,,
"External study mode: E329  = (2,4,5)",,,,,,,
* Socio-economic status data for 2022 and 2023 has been updated in 2024 to reflect revised information in the 2022 Higher Education student statistics collection (HESSC). Note that student completion data from 2021 and 2022 form the population data for GOS 2022 and 2023 respectively.,,,,,,,
† Locality statistics are calculated according to proportion for both metro and regional/remote categories.,,,,,,,
"† Location data are only reported for Commonwealth assisted students, which excludes international and domestic full fee paying students.",,,,,,,
†† Some subgroups may not add to 100 per cent due to rounding.,,,,,,,
