"Median annual full-time salaries ($) by gender, 2023 and 2024 among postgraduate research students from all provider types by demographic group",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Back to INDEX,,,,,,,
,,,,,,,
,,Male 2023,Male 2024,Female 2023,Female 2024,Total 2023,Total 2024
Gender,Male,"100,000","106,200",,,"100,000","106,200"
Gender,Female,,,"98,000","102,000","98,000","102,000"
Age group,30 years or under,"92,300","97,700","91,400","96,000","92,000","96,600"
Age group,Over 30 years,"109,000","117,000","103,700","110,000","105,000","112,000"
Indigenous,Indigenous,,,,,"109,500","106,500"
Indigenous,Non-Indigenous,"100,000","106,100","98,000","102,000","100,000","104,400"
Home language,English,"100,000","107,000","100,000","104,000","100,000","105,000"
Home language,Language other than English,"101,200","98,000","90,000","95,300","95,000","96,000"
Disability,Disability reported,"93,000","100,000","92,000","97,500","92,000","98,000"
Disability,No disability reported,"100,000","106,600","99,300","103,000","100,000","105,000"
Study mode,Internal/Mixed study mode,"100,000","105,700","97,400","100,300","99,400","103,000"
Study mode,External study mode,"110,000","125,000","108,000","120,700","109,300","124,300"
First in family,First in family,"100,000","105,100","100,000","101,000","100,000","102,000"
First in family,Not first in family,"100,000","104,400","95,500","100,800","97,600","102,000"
Socio-economic status,High*,"100,300","110,000","100,000","105,000","100,300","107,000"
Socio-economic status,Medium*,"101,000","105,000","100,000","102,000","100,000","102,000"
Socio-economic status,Low*,"95,900","98,900","94,800","97,000","94,900","97,200"
Locality,Metro* †,"101,000","109,000","100,000","103,300","100,000","105,000"
Locality,Regional/Remote* †,"98,500","104,400","101,000","98,500","100,000","99,900"
Total,Total,"100,000","106,200","98,000","102,000","100,000","104,400"
,,,,,,,
Column variables:,,,,,,,
FULLEMP,,,,,,,
SALARYA,,,,,,,
TRIMSAL_ALL,,,,,,,
YEAR,,,,,,,
,,,,,,,
Column filters:,,,,,,,
FULLEMP = 1,,,,,,,
TRIMSAL_ALL = 1,,,,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Postgraduate research: LEVEL = 3, e942 = 0",,,,,,,
,,,,,,,
Row variables:,,,,,,,
Gender: E315,,,,,,,
Mode of attendance: E329,,,,,,,
Indigenous indicator: E940,,,,,,,
English speaking indicator: E941,,,,,,,
Citizenship indicator: E942,,,,,,,
Disability indicator: E943,,,,,,,
FAMILYED,,,,,,,
FIRST_ASGS_METRO,,,,,,,
FIRST_ASGS_REGIONAL,,,,,,,
FIRST_ASGS_REMOTE,,,,,,,
FIRST_SES_SA1,,,,,,,
,,,,,,,
Row notes:,,,,,,,
30 years or under: e913 > 0 & e913 <= 30,,,,,,,
Over 30 years: e913 > 30,,,,,,,
"Internal/Mixed study mode: E329  = (1,3)",,,,,,,
"External study mode: E329  = (2,4,5)",,,,,,,
* Socio-economic status data for 2022 and 2023 has been updated in 2024 to reflect revised information in the 2022 Higher Education student statistics collection (HESSC). Note that student completion data from 2021 and 2022 form the population data for GOS 2022 and 2023 respectively.,,,,,,,
† Locality statistics are calculated according to proportion for both metro and regional/remote categories.,,,,,,,
"† Location data are only reported for Commonwealth assisted students, which excludes international and domestic full fee paying students.",,,,,,,
†† Some subgroups may not add to 100 per cent due to rounding.,,,,,,,
