"Median annual full-time salaries ($) by gender, 2023 and 2024 among undergraduates from all provider types by study area",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Back to INDEX,,,,,,,
,,,,,,,
,,Male 2023,Male 2024,Female 2023,Female 2024,Total 2023,Total 2024
,Agriculture and environmental studies,"73,300","73,200","70,000","70,800","71,100","71,500"
,Architecture and built environment,"72,000","78,700","63,400","69,400","66,000","75,000"
,Business and management,"70,000","72,000","67,800","72,000","69,200","72,000"
,Communications,"67,000","63,400","65,000","66,500","65,000","65,200"
,Computing and information systems,"75,000","76,000","73,000","75,000","74,400","75,300"
,Creative arts,"60,800","65,500","57,400","62,000","59,500","62,600"
,Dentistry,,,"93,900","97,300","94,400","103,300"
,Engineering,"75,300","80,000","75,000","78,300","75,000","80,000"
,Health services and support,"73,000","75,800","70,100","73,600","70,800","74,900"
,"Humanities, culture and social sciences","71,000","74,000","68,000","72,400","69,400","73,100"
,Law and paralegal studies,"76,000","80,000","71,000","75,000","73,000","76,000"
,Medicine,"90,000","87,700","83,300","84,000","85,000","86,800"
,Nursing,"71,000","74,000","69,000","71,400","69,400","72,000"
,Pharmacy,"55,500","58,900","55,500","59,500","55,500","59,500"
,Psychology,"73,100","77,800","70,000","75,000","71,000","75,100"
,Rehabilitation,"71,000","75,000","71,000","75,000","71,000","75,000"
,Science and mathematics,"70,500","75,000","67,500","70,000","69,000","72,400"
,Social work,"77,300","82,300","77,300","81,500","77,300","82,000"
,Teacher education,"75,900","81,000","75,000","78,300","75,000","78,800"
,"Tourism, hospitality, personal services, sport and recreation","71,400","70,200","60,000","60,000","65,000","63,900"
,Veterinary science,,,"66,800","70,000","67,400","70,000"
,Total,"73,100","76,000","70,000","73,400","71,000","75,000"
,Standard deviation,"10,000","10,900","8,400","8,400","8,100","9,200"
,,,,,,,
Column variables:,,,,,,,
FULLEMP,,,,,,,
SALARYA,,,,,,,
TRIMSAL_ALL,,,,,,,
YEAR,,,,,,,
,,,,,,,
Column filters:,,,,,,,
FULLEMP = 1,,,,,,,
TRIMSAL_ALL = 1,,,,,,,
"Data for all columns is filtered to: ANALYSIS = (1:2), Undergraduate: LEVEL = 1, e942 = 0",,,,,,,
,,,,,,,
Row variables:,,,,,,,
AREA,,,,,,,
,,,,,,,
Row notes:,,,,,,,
"Where a student completes a second course in a double degree in a different study area, the outcomes are included in both study areas.",,,,,,,
