"Median annual full-time salaries ($) by gender, 2023 and 2024 among undergraduates from all provider types by demographic group",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Back to INDEX,,,,,,,
,,,,,,,
,,Male 2023,Male 2024,Female 2023,Female 2024,Total 2023,Total 2024
Gender,Male,"73,100","76,000",,,"73,100","76,000"
Gender,Female,,,"70,000","73,400","70,000","73,400"
Age group,30 years or under,"71,200","75,000","68,900","72,000","70,000","73,000"
Age group,Over 30 years,"85,500","89,600","76,700","80,000","79,300","82,200"
Indigenous,Indigenous,"79,300","82,100","73,700","75,000","75,000","77,000"
Indigenous,Non-Indigenous,"73,100","76,000","70,000","73,200","71,000","75,000"
Home language,English,"73,100","76,000","70,000","73,400","71,000","75,000"
Home language,Language other than English,"73,000","71,700","67,800","72,000","69,400","72,000"
Disability,Disability reported,"72,600","75,500","69,600","73,100","70,000","74,000"
Disability,No disability reported,"73,100","76,000","70,000","73,400","71,000","75,000"
Study mode,Internal/Mixed study mode,"71,500","75,000","69,400","72,400","70,000","73,100"
Study mode,External study mode,"84,000","84,500","75,000","78,300","77,000","80,000"
First in family,First in family,"74,000","76,000","70,000","74,100","71,000","75,000"
First in family,Not first in family,"72,100","75,000","70,000","73,100","70,400","74,000"
Socio-economic status,High*,"73,000","75,000","70,000","73,100","70,900","74,100"
Socio-economic status,Medium*,"73,100","76,000","70,000","73,100","71,000","74,500"
Socio-economic status,Low*,"72,000","79,000","70,000","75,000","71,000","75,200"
Locality,Metro* †,"72,800","75,300","70,000","73,100","70,400","74,500"
Locality,Regional/Remote* †,"74,400","77,600","70,400","74,000","71,400","75,000"
Total,Total,"73,100","76,000","70,000","73,400","71,000","75,000"
,,,,,,,
Column variables:,,,,,,,
FULLEMP,,,,,,,
SALARYA,,,,,,,
TRIMSAL_ALL,,,,,,,
YEAR,,,,,,,
,,,,,,,
Column filters:,,,,,,,
FULLEMP = 1,,,,,,,
TRIMSAL_ALL = 1,,,,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Undergraduate: LEVEL = 1, e942 = 0",,,,,,,
,,,,,,,
Row variables:,,,,,,,
Gender: E315,,,,,,,
Mode of attendance: E329,,,,,,,
Indigenous indicator: E940,,,,,,,
English speaking indicator: E941,,,,,,,
Citizenship indicator: E942,,,,,,,
Disability indicator: E943,,,,,,,
FAMILYED,,,,,,,
FIRST_ASGS_METRO,,,,,,,
FIRST_ASGS_REGIONAL,,,,,,,
FIRST_ASGS_REMOTE,,,,,,,
FIRST_SES_SA1,,,,,,,
,,,,,,,
Row notes:,,,,,,,
30 years or under: e913 > 0 & e913 <= 30,,,,,,,
Over 30 years: e913 > 30,,,,,,,
"Internal/Mixed study mode: E329  = (1,3)",,,,,,,
"External study mode: E329  = (2,4,5)",,,,,,,
* Socio-economic status data for 2022 and 2023 has been updated in 2024 to reflect revised information in the 2022 Higher Education student statistics collection (HESSC). Note that student completion data from 2021 and 2022 form the population data for GOS 2022 and 2023 respectively.,,,,,,,
† Locality statistics are calculated according to proportion for both metro and regional/remote categories.,,,,,,,
"† Location data are only reported for Commonwealth assisted students, which excludes international and domestic full fee paying students.",,,,,,,
†† Some subgroups may not add to 100 per cent due to rounding.,,,,,,,
