"Median annual full-time salaries ($), 2022-2024, with 90% confidence intervals among undergraduates from non-university higher education institutes (NUHEIs) by institution",Unnamed: 1,Unnamed: 2
Back to INDEX,,
,,
,,Median annual full-time salaries ($)
,ACAP University College,"75,800 (73,100, 78,500)"
,Tabor College of Higher Education,"75,700 (71,300, 80,000)"
,TAFE NSW,"73,100 (68,700, 77,400)"
,Moore Theological College,"72,000 (63,900, 80,100)"
,Marcus Oldham College,"70,400 (66,700, 74,200)"
,Australasian College of Health and Wellness,"70,300 (65,600, 75,100)"
,Academy of Interactive Technology,"69,200 (65,400, 73,000)"
,Melbourne Institute of Technology,"69,000 (39,300, 98,700)"
,Holmesglen Institute,"68,000 (62,400, 73,600)"
,TAFE Queensland,"66,400 (62,300, 70,500)"
,All NUHEIs,"65,200 (64,000, 66,500)"
,Australian University of Theology*,"65,000 (59,300, 70,700)"
,The Australian College of Physical Education,"64,300 (58,100, 70,600)"
,Alphacrucis University College,"64,100 (56,900, 71,300)"
,"Whitehouse Institute of Design, Australia","63,000 (58,700, 67,300)"
,Endeavour College of Natural Health,"62,600 (57,400, 67,900)"
,"International College of Management, Sydney","60,000 (55,300, 64,700)"
,SAE University College,"58,200 (55,600, 60,800)"
,Collarts (Australian College of the Arts),"55,500 (50,000, 61,000)"
,Academies Australasia Polytechnic Pty Limited,
,Acknowledge Education,
,Adelaide Central School of Art,
,Adelaide Institute of Higher Education,
,Asia Pacific International College,
,Australia Advance Education Group Pty Ltd,
,Australian Academy of Music and Performing Arts,
,Australian College of Christian Studies,
,Australian College of Nursing,
,Australian Institute of Business Pty Ltd,
,Australian Institute of Higher Education,
,Australian Institute of Management Education & Training,
,Australian Institute of Professional Counsellors,
,BBI - The Australian Institute of Theological Education,
,Box Hill Institute,
,CIC Higher Education,
,Campion College Australia,
,Chartered Accountants Australia and New Zealand,
,Chisholm Institute,
,Christian Heritage College,
,Crown Institute of Higher Education Pty Ltd,
,Eastern College Australia,
,Engineering Institute of Technology,
,Excelsia University College,
,Gestalt Therapy Brisbane,
,Governance Institute of Australia,
,HEPCO The Tax Institute Higher Education,
,Health Education & Training Institute,
,Holmes Institute,
,ICHM,
,ISN Psychology Pty Ltd,
,Ikon Institute of Australia,
,Institute of Health & Management Pty Ltd,
,Jazz Music Institute,
,Kaplan Business School,
,Kaplan Higher Education Pty Ltd,
,King's Own Institute,
,LCI Melbourne,
,Le Cordon Bleu Australia,
,Leaders Institute,
,Leo Cussen Centre for Law,
,Lyons College,
,Melbourne Polytechnic,
,Montessori World Educational Institute (Australia),
,Morling College,
,Nan Tien Institute,
,National Art School,
,National Institute of Organisation Dynamics Aust,
,Ozford Institute of Higher Education,
,Performing Arts Education,
,Perth Bible College,
,Polytechnic Institute Australia Pty Ltd,
,SP Jain School of Management,
,Sheridan Institute of Higher Education,
,Southern Cross Education Institute (Higher Education),
,Stanley College,
,Sydney College of Divinity,
,TAFE South Australia,
,The Australian Institute of Music,
,The Cairnmillar Institute,
,The College of Law Limited,
,The Institute of Creative Arts and Technology,
,The Institute of Internal Auditors - Australia,
,The MIECAT Institute,
,UOW College,
,UTS College,
,VIT (Victorian Institute of Technology),
,Wentworth Institute of Higher Education,
,William Angliss Institute,
,,
Column variables:,,
FULLEMP,,
SALARYA,,
TRIMSAL_ALL,,
YEAR,,
,,
Column filters:,,
FULLEMP = 1,,
TRIMSAL_ALL = 1,,
,,
Column notes:,,
The Agresti-Coull method is used to calculate 90% confidence intervals for proportions.,,
Estimates and confidence intervals (CIs) may become unreliable for very small sample sizes and proportions close to 0% or 100%.,,
CIs are not displayed when estimates are 0% or 100% or fall outside the CI range. Exercise caution when reporting and comparing proportions in these cases.,,
Bootstrapping on the median is used to estimate 90% confidence intervals for median salary.,,
"Data for all columns is filtered to: ANALYSIS = 1, Undergraduate: LEVEL = 1, NUHEI: HEPTYPE = 2, e942 = 0",,
,,
Row variables:,,
E306,,
,,
Row notes:,,
"* The Australian University of Theology was awarded university status in December 2024. Prior to this, the institution was known as the Australian College of Theology and was classified as a non-university higher education institution (NUHEI). Data for the 2024 GOS was collected when the institution was a NUHEI.",,
