"Median annual full-time salaries ($), 2024, with 90% confidence intervals among undergraduates from universities by institution",Unnamed: 1,Unnamed: 2
Back to INDEX,,
,,
,,Median annual full-time salaries ($)
,University of Southern Queensland,"82,900 (81,400, 84,400)"
,University of New England,"81,600 (78,400, 84,900)"
,Central Queensland University,"81,500 (79,900, 83,000)"
,University of Tasmania,"79,300 (77,700, 80,900)"
,Charles Sturt University,"78,300 (77,000, 79,500)"
,Murdoch University,"78,000 (76,100, 79,900)"
,Swinburne University of Technology,"77,900 (76,900, 78,900)"
,James Cook University,"77,800 (75,700, 79,900)"
,Edith Cowan University,"77,300 (75,700, 79,000)"
,University of New South Wales,"77,300 (75,900, 78,800)"
,Charles Darwin University,"77,000 (75,400, 78,600)"
,Curtin University,"76,800 (75,100, 78,500)"
,University of Canberra,"76,200 (74,000, 78,300)"
,The Australian National University,"76,000 (75,000, 77,000)"
,Federation University Australia,"75,700 (74,000, 77,300)"
,Australian Catholic University,"75,000 (73,900, 76,100)"
,Griffith University,"75,000 (73,700, 76,300)"
,Macquarie University,"75,000 (73,000, 77,000)"
,The University of Queensland,"75,000 (73,900, 76,100)"
,The University of Sydney,"75,000 (74,100, 75,900)"
,All universities,"75,000 (74,900, 75,100)"
,University of Newcastle,"74,900 (73,800, 75,900)"
,Queensland University of Technology,"74,000 (72,400, 75,600)"
,Southern Cross University,"73,500 (71,900, 75,200)"
,Monash University,"73,300 (72,200, 74,300)"
,University of the Sunshine Coast,"73,200 (70,800, 75,700)"
,University of Wollongong,"73,100 (71,500, 74,600)"
,Western Sydney University,"73,100 (72,000, 74,100)"
,The University of Notre Dame Australia,"73,000 (71,700, 74,400)"
,Bond University,"73,000 (68,300, 77,700)"
,Flinders University,"73,000 (71,900, 74,100)"
,The University of Adelaide,"72,900 (70,700, 75,100)"
,University of Technology Sydney,"72,900 (71,500, 74,200)"
,The University of South Australia,"72,800 (71,200, 74,400)"
,The University of Western Australia,"72,700 (70,200, 75,200)"
,Deakin University,"71,400 (70,100, 72,700)"
,Avondale University,"71,000 (69,100, 72,900)"
,La Trobe University,"70,000 (69,100, 70,900)"
,RMIT University,"70,000 (68,900, 71,100)"
,Victoria University,"69,600 (66,400, 72,700)"
,The University of Melbourne,"68,500 (67,400, 69,600)"
,Torrens University,"65,000 (62,800, 67,200)"
,University of Divinity,
,,
Column variables:,,
E942,,
FULLEMP,,
SALARYA,,
TRIMSAL_ALL,,
YEAR,,
,,
Column filters:,,
E942 = 0,,
FULLEMP = 1,,
TRIMSAL_ALL = 1,,
,,
Column notes:,,
The Agresti-Coull method is used to calculate 90% confidence intervals for proportions.,,
Estimates and confidence intervals (CIs) may become unreliable for very small sample sizes and proportions close to 0% or 100%.,,
CIs are not displayed when estimates are 0% or 100% or fall outside the CI range. Exercise caution when reporting and comparing proportions in these cases.,,
Bootstrapping on the median is used to estimate 90% confidence intervals for median salary.,,
"Data for all columns is filtered to: ANALYSIS = 1, Undergraduate: LEVEL = 1, University: HEPTYPE = 1, e942 = 0",,
,,
Row variables:,,
E306,,
