Satisfaction (% agreement) 2023-2024 among postgraduate coursework students from all provider types by study area,Unnamed: 1,Unnamed: 2,Unnamed: 3
Back to INDEX,,,
,,,
,,Overall satisfaction 2023,Overall satisfaction 2024
,Agriculture and environmental studies,85.2,81.9
,Architecture and built environment,74.0,72.5
,Business and management,83.3,81.9
,Communications,86.7,80.9
,Computing and information systems,74.7,72.9
,Creative arts,81.7,76.5
,Dentistry,66.7,52.2
,Engineering,77.6,75.4
,Health services and support,82.7,82.3
,"Humanities, culture and social sciences",87.0,86.4
,Law and paralegal studies,75.5,75.1
,Medicine,75.0,76.8
,Nursing,82.4,81.5
,Pharmacy,85.6,85.3
,Psychology,82.8,80.0
,Rehabilitation,71.4,75.4
,Science and mathematics,78.7,77.6
,Social work,82.5,80.2
,Teacher education,80.3,80.3
,"Tourism, hospitality, personal services, sport and recreation",77.4,82.6
,Veterinary science,62.7,56.1
,Total,80.9,79.7
,Standard deviation,6.5,8.4
,,,
Column variables:,,,
CEQ_OSI,,,
YEAR,,,
,,,
Column filters:,,,
"CEQOSI != (NA, 995, 999)",,,
"Data for all columns is filtered to: ANALYSIS = (1:2), Postgraduate coursework: LEVEL = 2",,,
,,,
Row variables:,,,
AREA,,,
,,,
Row notes:,,,
"Where a student completes a second course in a double degree in a different study area, the outcomes are included in both study areas.",,,
