Satisfaction (% agreement) 2023-2024 among undergraduates from all provider types by study area,Unnamed: 1,Unnamed: 2,Unnamed: 3
Back to INDEX,,,
,,,
,,Overall satisfaction 2023,Overall satisfaction 2024
,Agriculture and environmental studies,86.4,84.4
,Architecture and built environment,70.3,69.6
,Business and management,75.3,73.5
,Communications,73.4,76.3
,Computing and information systems,72.3,70.5
,Creative arts,72.7,71.7
,Dentistry,60.7,67.3
,Engineering,72.3,70.8
,Health services and support,74.6,75.0
,"Humanities, culture and social sciences",80.3,80.8
,Law and paralegal studies,82.1,80.5
,Medicine,83.5,81.9
,Nursing,70.5,70.1
,Pharmacy,81.3,82.1
,Psychology,79.8,78.7
,Rehabilitation,79.0,79.5
,Science and mathematics,79.9,80.1
,Social work,81.9,77.8
,Teacher education,72.1,71.4
,"Tourism, hospitality, personal services, sport and recreation",78.6,78.1
,Veterinary science,72.0,72.7
,Total,76.0,75.2
,Standard deviation,5.9,5.0
,,,
Column variables:,,,
CEQ_OSI,,,
YEAR,,,
,,,
Column filters:,,,
"CEQOSI != (NA, 995, 999)",,,
"Data for all columns is filtered to: ANALYSIS = (1:2), Undergraduate: LEVEL = 1",,,
,,,
Row variables:,,,
AREA,,,
,,,
Row notes:,,,
"Where a student completes a second course in a double degree in a different study area, the outcomes are included in both study areas.",,,
