Satisfaction (% agreement) 2023-2024 among undergraduates from all provider types by demographic group,Unnamed: 1,Unnamed: 2,Unnamed: 3
Back to INDEX,,,
,,,
,,Overall satisfaction 2023,Overall satisfaction 2024
Gender,Male,73.7,72.6
Gender,Female,77.3,76.7
Age group,30 years or under,75.0,74.3
Age group,Over 30 years,80.2,78.9
Indigenous,Indigenous,73.6,79.0
Indigenous,Non-Indigenous,76.0,75.1
Home language,English,75.8,75.1
Home language,Language other than English,76.9,76.1
Disability,Disability reported,73.7,72.4
Disability,No disability reported,76.2,75.5
Study mode,Internal/Mixed study mode,75.2,74.4
Study mode,External study mode,80.3,79.6
First in family,First in family,76.8,75.3
First in family,Not first in family,75.7,75.5
Socio-economic status,High*,76.5,75.4
Socio-economic status,Medium*,76.3,75.7
Socio-economic status,Low*,75.6,75.2
Locality,Metro* †,76.4,75.7
Locality,Regional/Remote* †,75.4,74.7
Total,Total,76.0,75.2
,,,
Column variables:,,,
CEQ_OSI,,,
YEAR,,,
,,,
Column filters:,,,
"CEQOSI != (NA, 995, 999)",,,
"Data for all columns is filtered to: ANALYSIS = (1:2), Undergraduate: LEVEL = 1",,,
,,,
Row variables:,,,
Gender: E315,,,
Mode of attendance: E329,,,
Indigenous indicator: E940,,,
English speaking indicator: E941,,,
Citizenship indicator: E942,,,
Disability indicator: E943,,,
FAMILYED,,,
FIRST_ASGS_METRO,,,
FIRST_ASGS_REGIONAL,,,
FIRST_ASGS_REMOTE,,,
FIRST_SES_SA1,,,
,,,
Row notes:,,,
30 years or under: e913 > 0 & e913 <= 30,,,
Over 30 years: e913 > 30,,,
"Internal/Mixed study mode: E329  = (1,3)",,,
"External study mode: E329  = (2,4,5)",,,
* Socio-economic status data for 2022 and 2023 has been updated in 2024 to reflect revised information in the 2022 Higher Education student statistics collection (HESSC). Note that student completion data from 2021 and 2022 form the population data for GOS 2022 and 2023 respectively.,,,
† Locality statistics are calculated according to proportion for both metro and regional/remote categories.,,,
"† Location data are only reported for Commonwealth assisted students, which excludes international and domestic full fee paying students.",,,
†† Some subgroups may not add to 100 per cent due to rounding.,,,
