"Occupation does not fully use skills or education, 2024, among undergraduates from all provider types by study area",Unnamed: 1,Unnamed: 2,Unnamed: 3
Back to INDEX,,,
,,,
,,Employed full-time,Overall employed
,Agriculture and environmental studies,30.1,40.6
,Architecture and built environment,22.0,35.3
,Business and management,32.1,40.8
,Communications,38.9,52.9
,Computing and information systems,27.9,39.1
,Creative arts,47.6,56.3
,Dentistry,4.2,11.1
,Engineering,23.1,29.3
,Health services and support,29.8,42.4
,"Humanities, culture and social sciences",38.7,53.2
,Law and paralegal studies,34.0,40.8
,Medicine,16.5,29.9
,Nursing,9.9,11.7
,Pharmacy,6.9,9.1
,Psychology,50.4,62.1
,Rehabilitation,4.6,7.8
,Science and mathematics,40.3,57.7
,Social work,22.4,31.4
,Teacher education,11.5,16.1
,"Tourism, hospitality, personal services, sport and recreation",46.9,53.7
,Veterinary science,11.8,25.4
,Total,28.3,39.3
,,,
Column variables:,,,
FULLEMP,,,
GENEMP,,,
SPOQSCL,,,
YEAR,,,
,,,
Column filters:,,,
FT: FULLEMP = 1,,,
OE: GENEMP = 1,,,
"SPOQSCL != (NA, 995, 999)",,,
"Data for all columns is filtered to: ANALYSIS = (1:2), Undergraduate: LEVEL = 1, e942 = 0",,,
,,,
Row variables:,,,
AREA,,,
,,,
Row notes:,,,
"Where a student completes a second course in a double degree in a different study area, the outcomes are included in both study areas.",,,
