"Collection summary among all course levels from all provider types by GOS collection period, 2022",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Back to INDEX,,,,,,
,,,,,,
,,No. of participating institutions,No. of approached graduates,No. of in-scope graduates,No. of completed surveys,Overall response rate (%)
2021,November - University,42,105482,97334,37311,38.3
2021,November - NUHEIs,66,13688,12409,4635,37.4
2021,November - Total,108,119170,109743,41946,38.2
2022,February - University,32,22660,20772,8063,38.8
2022,February - NUHEIs,43,4456,3913,1398,35.7
2022,February - Total,75,27116,24685,9461,38.3
2022,May - University,42,202840,186081,74615,40.1
2022,May - NUHEIs,77,14122,12769,5289,41.4
2022,May - Total,119,216962,198850,79904,40.2
Total collection,University,42,330982,304187,119989,39.4
Total collection,NUHEIs,88,32266,29091,11322,38.9
Total collection,Total,130,363248,333278,131311,39.4
,,,,,,
Column variables:,,,,,,
E306,,,,,,
NATAPPROACH,,,,,,
NATCOMPLETE,,,,,,
NATINSCOPE,,,,,,
,,,,,,
Column filters:,,,,,,
NATAPPROACH = 1,,,,,,
NATCOMPLETE = 1,,,,,,
NATINSCOPE = 1,,,,,,
,,,,,,
Column notes:,,,,,,
This table is constructed from the GOS operational file.,,,,,,
"In-scope graduates excludes opt-outs, disqualified or out-of-scope surveys.",,,,,,
Data for all columns is filtered to: ANALYSIS = 1,,,,,,
,,,,,,
Row variables:,,,,,,
HEPTYPE,,,,,,
PERIOD,,,,,,
YEAR,,,,,,
,,,,,,
Row notes:,,,,,,
Universites: HEPTYPE = 1,,,,,,
NUHEIs: HEPTYPE = 2,,,,,,
