program_family,country,salary_median,currency,source
general_studies,Canada,59700.0,CAD,StatsCan_NGS_2020
education,Canada,60000.0,CAD,StatsCan_NGS_2020
creative_arts,Canada,41000.0,CAD,StatsCan_NGS_2020
communications,Canada,41000.0,CAD,StatsCan_NGS_2020
humanities,Canada,43400.0,CAD,StatsCan_NGS_2020
social_sciences,Canada,49100.0,CAD,StatsCan_NGS_2020
law,Canada,49100.0,CAD,StatsCan_NGS_2020
business,Canada,62200.0,CAD,StatsCan_NGS_2020
physical_sciences,Canada,47500.0,CAD,StatsCan_NGS_2020
biological_sciences,Canada,47500.0,CAD,StatsCan_NGS_2020
mathematics,Canada,75300.0,CAD,StatsCan_NGS_2020
computer_science,Canada,75300.0,CAD,StatsCan_NGS_2020
architecture,Canada,74900.0,CAD,StatsCan_NGS_2020
engineering,Canada,74900.0,CAD,StatsCan_NGS_2020
agriculture,Canada,53600.0,CAD,StatsCan_NGS_2020
environmental_sciences,Canada,53600.0,CAD,StatsCan_NGS_2020
healthcare,Canada,77100.0,CAD,StatsCan_NGS_2020
medicine,Canada,77100.0,CAD,StatsCan_NGS_2020
