"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Characteristics and median employment income of postsecondary graduates two years after graduation, by educational qualification and field of study (alternative primary groupings)","37100281",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3710028101",1;2,"CURRENT - a cube available to the public and that is current","Occasional","2010-01-01","2021-01-01","8",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Educational qualification",9,""
"3","Field of study",11,""
"4","Gender",,""
"5","Age group",12,""
"6","Status of student in Canada",13,""
"7","Characteristics after graduation",,""
"8","Graduate statistics",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Newfoundland and Labrador","[10]","2","1","",,
"1","Prince Edward Island","[11]","3","1","",,
"1","Nova Scotia","[12]","4","1","",,
"1","New Brunswick","[13]","5","1","",4,
"1","Quebec","[24]","6","1","",5,
"1","Ontario","[35]","7","1","",6,
"1","Manitoba","[46]","8","1","",7,
"1","Saskatchewan","[47]","9","1","",,
"1","Alberta","[48]","10","1","",,
"1","British Columbia","[59]","11","1","",,
"1","Territories","[6]","12","1","",8,
"1","Canada","[11124]","1","","",3,
"2","Career, technical or professional training short credential","","2","1","",,
"2","Career, technical or professional training certificate","","3","1","",,
"2","Career, technical or professional training diploma","","4","1","",,
"2","Post career, technical or professional training program certificate","","5","1","",,
"2","Undergraduate certificate","","6","1","",,
"2","Undergraduate degree","","7","1","",9,
"2","Post-baccalaureate non-graduate diploma","","8","1","",,
"2","Professional degree","","9","1","",10,
"2","Master's diploma","","10","1","",,
"2","Master's degree","","11","1","",,
"2","Doctoral degree","","12","1","",,
"2","Other educational qualifications","","13","1","",,
"2","Total, educational qualification","","1","","",21,
"3","Education","[1]","2","1","",,
"3","Visual and performing arts, and communications technologies","[2]","4","1","",,
"3","Humanities","[3]","7","1","",,
"3","Social and behavioural sciences and law","[4]","16","1","",,
"3","Business, management and public administration","[5]","24","1","",,
"3","Physical and life sciences and technologies","[6]","28","1","",,
"3","Mathematics, computer and information sciences","[7]","34","1","",,
"3","Architecture, engineering, and related trades","[8]","39","1","",,
"3","Agriculture, natural resources and conservation","[9]","47","1","",,
"3","Health and related fields","[10]","50","1","",,
"3","Personal, protective and transportation services","[11]","56","1","",,
"3","Other instructional programs","[12]","62","1","",,
"3","Education","[13]","3","2","",,
"3","Communications technologies/technicians and support services","[10]","5","4","",,
"3","Visual and performing arts","[50]","6","4","",,
"3","Indigenous and foreign languages, literatures, and linguistics","[16]","8","7","",,
"3","English language and literature/letters","[23]","9","7","",,
"3","Liberal arts and sciences, general studies and humanities","[24]","10","7","",,
"3","Interdisciplinary humanities","[30A]","11","7","",,
"3","Philosophy and religious studies","[38]","12","7","",,
"3","Theology and religious vocations","[39]","13","7","",,
"3","History","[54]","14","7","",,
"3","French language and literature/letters","[55]","15","7","",,
"3","Area, ethnic, cultural, gender, and group studies","[5]","17","16","",,
"3","Communication, journalism and related programs","[9]","18","16","",,
"3","Family and consumer sciences/human sciences","[19]","19","16","",,
"3","Legal professions and studies","[22]","20","16","",,
